longitude,latitude,duration,distance,index,color
51.5134,-0.089,0,0,0,"0.1,0.8,0"
51.39339999999999,-0.22899999999999998,84,16.521145243511576,5.084393288836299,"1, 0.6666666666666666,0.6666666666666666"
51.39339999999999,-0.20899999999999996,63,15.742389594934318,4.001933735668219,"1, 0.39215686274509803,0.39215686274509803"
51.39339999999999,-0.189,59,15.052005337601218,3.9197434944175096,"1, 0.35294117647058826,0.35294117647058826"
51.39339999999999,-0.16899999999999998,93,14.46265346730035,6.4303552740353185,"1, 0.98, 0.98"
51.413399999999996,-0.249,101,15.7296495628663,6.420994924034119,"1, 0.98, 0.98"
51.413399999999996,-0.22899999999999998,79,14.779840038181693,5.345118742551633,"1, 0.7058823529411765,0.7058823529411765"
51.413399999999996,-0.20899999999999996,64,13.904287967311426,4.602896613653438,"1, 0.5490196078431373,0.5490196078431373"
51.413399999999996,-0.189,74,13.117870795751388,5.641159388760491,"1, 0.7843137254901961,0.7843137254901961"
51.413399999999996,-0.16899999999999998,62,12.437507955646156,4.984921434510871,"1, 0.6274509803921569,0.6274509803921569"
51.413399999999996,-0.14899999999999997,70,11.881432361985615,5.8915455533765,"1, 0.8627450980392157,0.8627450980392157"
51.43339999999999,-0.309,108,17.688297790062546,6.105731669707383,"1, 0.9411764705882353,0.9411764705882353"
51.43339999999999,-0.289,106,16.50224628011925,6.423367958560973,"1, 0.98, 0.98"
51.43339999999999,-0.249,97,14.241026230141864,6.8113068842394595,"1, 0.98, 0.98"
51.43339999999999,-0.22899999999999998,75,13.184888148551751,5.688330394235321,"1, 0.8235294117647058,0.8235294117647058"
51.43339999999999,-0.20899999999999996,56,12.19581043652317,4.591740769624876,"1, 0.5098039215686274,0.5098039215686274"
51.43339999999999,-0.189,80,11.29142949767842,7.085019661722056,"1, 0.98, 0.98"
51.43339999999999,-0.16899999999999998,98,10.49366669787878,9.338966332884386,"1, 0.98, 0.98"
51.43339999999999,-0.14899999999999997,48,9.828518479151814,4.883747240422579,"1, 0.5882352941176471,0.5882352941176471"
51.43339999999999,-0.129,66,9.324408039956078,7.078197320106863,"1, 0.98, 0.98"
51.453399999999995,-0.469,138,27.22793310488372,5.068324483845882,"1, 0.6666666666666666,0.6666666666666666"
51.453399999999995,-0.449,107,25.883265718386294,4.133945119760992,"1, 0.39215686274509803,0.39215686274509803"
51.453399999999995,-0.429,95,24.543571254064844,3.870667353849996,"1, 0.35294117647058826,0.35294117647058826"
51.453399999999995,-0.409,96,23.209710966914514,4.136199719886567,"1, 0.39215686274509803,0.39215686274509803"
51.453399999999995,-0.389,100,21.882751856038546,4.569809165587417,"1, 0.5098039215686274,0.5098039215686274"
51.453399999999995,-0.369,95,20.564030034081227,4.61971704196864,"1, 0.5490196078431373,0.5490196078431373"
51.453399999999995,-0.349,102,19.25523811049948,5.29725986324633,"1, 0.7058823529411765,0.7058823529411765"
51.453399999999995,-0.32899999999999996,91,17.958547352967084,5.067224993839221,"1, 0.6666666666666666,0.6666666666666666"
51.453399999999995,-0.309,74,16.67678085999494,4.4373072130194355,"1, 0.47058823529411764,0.47058823529411764"
51.453399999999995,-0.289,76,15.41366239653095,4.93069058117588,"1, 0.6274509803921569,0.6274509803921569"
51.453399999999995,-0.269,99,14.174178350724155,6.984531840248935,"1, 0.98, 0.98"
51.453399999999995,-0.249,95,12.965109059304723,7.327358340408326,"1, 0.98, 0.98"
51.453399999999995,-0.22899999999999998,71,11.795810863458213,6.019085997720442,"1, 0.9019607843137255,0.9019607843137255"
51.453399999999995,-0.20899999999999996,57,10.67935564995841,5.337400669882362,"1, 0.7058823529411765,0.7058823529411765"
51.453399999999995,-0.189,71,9.634132255002465,7.369631028589387,"1, 0.98, 0.98"
51.453399999999995,-0.16899999999999998,56,8.68589414717971,6.447234913423746,"1, 0.98, 0.98"
51.453399999999995,-0.14899999999999997,31,7.869777435322323,3.9391202933975134,"1, 0.35294117647058826,0.35294117647058826"
51.453399999999995,-0.129,47,7.230658652659052,6.500099404183033,"1, 0.98, 0.98"
51.453399999999995,-0.10899999999999999,52,6.818492565453565,7.626319087515346,"1, 0.98, 0.98"
51.453399999999995,-0.08899999999999997,73,6.675451015107805,10.935590694139952,"1, 0.98, 0.98"
51.453399999999995,-0.069,112,6.818492565453565,16.425918034648436,"1, 0.98, 0.98"
51.453399999999995,-0.04899999999999999,119,7.230658652659052,16.457698491442148,"1, 0.98, 0.98"
51.47339999999999,-0.469,146,26.763769383538335,5.455135930509124,"1, 0.7450980392156863,0.7450980392156863"
51.47339999999999,-0.449,73,25.39515057584028,2.874564566254184,"1, 0.0784313725490196,0.0784313725490196"
51.47339999999999,-0.409,93,22.665354297965987,4.103178744854032,"1, 0.39215686274509803,0.39215686274509803"
51.47339999999999,-0.389,67,21.305130526936512,3.144782422961011,"1, 0.1568627450980392,0.1568627450980392"
51.47339999999999,-0.369,67,19.948873588525824,3.3585856215228613,"1, 0.19607843137254902,0.19607843137254902"
51.47339999999999,-0.349,74,18.597451483216837,3.979039819879669,"1, 0.35294117647058826,0.35294117647058826"
51.47339999999999,-0.32899999999999996,106,17.25200055980614,6.144214964087104,"1, 0.9411764705882353,0.9411764705882353"
51.47339999999999,-0.309,143,15.914035502812423,8.985778621313758,"1, 0.98, 0.98"
51.47339999999999,-0.289,98,14.585616647550836,6.718948013518222,"1, 0.98, 0.98"
51.47339999999999,-0.269,85,13.269611424313664,6.405613343300774,"1, 0.98, 0.98"
51.47339999999999,-0.249,91,11.970114945515972,7.6022661782449115,"1, 0.98, 0.98"
