longitude,latitude,duration,distance,index,color
51.5134,-0.089,0,0,0,"0.1,0.8,0"
51.3334,-0.469,105,33.161296308399,3.1663418409070423,"1, 0.1568627450980392,0.1568627450980392"
51.3334,-0.449,110,32.063491561514084,3.430693123017001,"1, 0.23529411764705882,0.23529411764705882"
51.3334,-0.429,165,30.98925410552983,5.324426313654217,"1, 0.7058823529411765,0.7058823529411765"
51.3334,-0.409,155,29.94112079737464,5.1768269146955594,"1, 0.6666666666666666,0.6666666666666666"
51.3334,-0.389,174,28.921929908443175,6.016196033626518,"1, 0.9019607843137255,0.9019607843137255"
51.3334,-0.369,208,27.93484955324624,7.445896553104179,"1, 0.98, 0.98"
51.3334,-0.349,182,26.983403947300268,6.744886610875845,"1, 0.98, 0.98"
51.3334,-0.32899999999999996,164,26.071494789945024,6.290394982003478,"1, 0.98, 0.98"
51.3334,-0.289,166,24.383843167935396,6.8077865682095995,"1, 0.98, 0.98"
51.3334,-0.269,189,23.617832860723315,8.002427704292414,"1, 0.98, 0.98"
51.3334,-0.249,171,22.91075612231724,7.4637431906243314,"1, 0.98, 0.98"
51.3334,-0.22899999999999998,138,22.268227618429556,6.197170352515568,"1, 0.9411764705882353,0.9411764705882353"
51.3334,-0.20899999999999996,119,21.695982962486976,5.484886313090985,"1, 0.7450980392156863,0.7450980392156863"
51.3334,-0.189,122,21.199714486212365,5.754794484583507,"1, 0.8235294117647058,0.8235294117647058"
51.3334,-0.16899999999999998,127,20.784865061300604,6.110215275655633,"1, 0.9411764705882353,0.9411764705882353"
51.3334,-0.14899999999999997,114,20.456388781121426,5.572831119889895,"1, 0.7843137254901961,0.7843137254901961"
51.3334,-0.129,77,20.218495847847333,3.8083940852701073,"1, 0.3137254901960784,0.3137254901960784"
51.3334,-0.10899999999999999,68,20.074406927534007,3.387397707213525,"1, 0.19607843137254902,0.19607843137254902"
51.3334,-0.08899999999999997,96,20.026146904113237,4.793732936228598,"1, 0.5882352941176471,0.5882352941176471"
51.3334,-0.069,113,20.074406927534007,5.6290579546342405,"1, 0.7843137254901961,0.7843137254901961"
51.3334,-0.04899999999999999,99,20.218495847847333,4.896506681061566,"1, 0.5882352941176471,0.5882352941176471"
51.3334,-0.02899999999999997,185,20.456388781121422,9.04362944894413,"1, 0.98, 0.98"
51.3334,-0.009000000000000008,99,20.784865061300604,4.763081199133131,"1, 0.5882352941176471,0.5882352941176471"
51.3334,0.01100000000000001,116,21.199714486212365,5.471771805013827,"1, 0.7450980392156863,0.7450980392156863"
51.3334,0.031000000000000028,165,21.695982962487683,7.605094467730948,"1, 0.98, 0.98"
51.3334,0.051000000000000045,139,22.268227618429915,6.2420773840554356,"1, 0.9411764705882353,0.9411764705882353"
51.3334,0.07100000000000006,156,22.91075612231724,6.809028875657285,"1, 0.98, 0.98"
51.3334,0.09099999999999997,168,23.617832860722963,7.113269070482251,"1, 0.98, 0.98"
51.3334,0.11099999999999999,162,24.383843167935396,6.643743518373224,"1, 0.98, 0.98"
51.3334,0.131,173,25.20341403783074,6.864149425959679,"1, 0.98, 0.98"
51.3334,0.15100000000000002,122,26.071494789945376,4.6794401695391095,"1, 0.5490196078431373,0.5490196078431373"
51.3334,0.17100000000000004,158,26.983403947300268,5.855451013837272,"1, 0.8627450980392157,0.8627450980392157"
51.3334,0.19100000000000006,169,27.93484955324624,6.049790949397146,"1, 0.9019607843137255,0.9019607843137255"
51.3334,0.21100000000000008,165,28.921929908443175,5.705013480163077,"1, 0.8235294117647058,0.8235294117647058"
51.3334,0.23099999999999998,173,29.94112079737464,5.778006814466656,"1, 0.8235294117647058,0.8235294117647058"
51.3334,0.251,156,30.98925410552983,5.034003060182169,"1, 0.6274509803921569,0.6274509803921569"
51.3334,0.271,185,32.063491561514084,5.769802070528592,"1, 0.8235294117647058,0.8235294117647058"
51.3334,0.29100000000000004,172,33.161296308399,5.1867694917715355,"1, 0.6666666666666666,0.6666666666666666"
51.3334,0.31100000000000005,179,34.28040416767588,5.221642053123311,"1, 0.7058823529411765,0.7058823529411765"
51.35339999999999,-0.469,101,31.862174313157606,3.1699029390562234,"1, 0.1568627450980392,0.1568627450980392"
51.35339999999999,-0.449,72,30.718483897820803,2.3438656751255795,"1,0,0"
51.35339999999999,-0.429,88,29.595964743348325,2.9733783224545145,"1, 0.11764705882352941,0.11764705882352941"
51.35339999999999,-0.409,81,28.497118895286032,2.8423926045870886,"1, 0.0784313725490196,0.0784313725490196"
51.35339999999999,-0.389,106,27.42479218633117,3.865115887836394,"1, 0.35294117647058826,0.35294117647058826"
51.35339999999999,-0.369,215,26.382218575218342,8.149428350273633,"1, 0.98, 0.98"
