longitude,latitude,duration,distance,index,color
51.5134,-0.089,0,0,0,"0.1,0.8,0"
51.3334,-0.469,199,33.161296308399,6.000971679433347,"1, 0.9019607843137255,0.9019607843137255"
51.3334,-0.449,260,32.063491561514084,8.108911018040184,"1, 0.98, 0.98"
51.3334,-0.429,166,30.98925410552983,5.35669556404,"1, 0.7450980392156863,0.7450980392156863"
51.3334,-0.409,158,29.94112079737464,5.277023564657409,"1, 0.7058823529411765,0.7058823529411765"
51.3334,-0.389,246,28.921929908443175,8.505656461334043,"1, 0.98, 0.98"
51.3334,-0.369,207,27.93484955324624,7.410098973521947,"1, 0.98, 0.98"
51.3334,-0.349,182,26.983403947300268,6.744886610875845,"1, 0.98, 0.98"
51.3334,-0.32899999999999996,164,26.071494789945024,6.290394982003478,"1, 0.98, 0.98"
51.3334,-0.289,166,24.383843167935396,6.8077865682095995,"1, 0.98, 0.98"
51.3334,-0.269,188,23.617832860723315,7.960086816968115,"1, 0.98, 0.98"
51.3334,-0.249,165,22.91075612231724,7.201857464637513,"1, 0.98, 0.98"
51.3334,-0.22899999999999998,145,22.268227618429556,6.5115195732953435,"1, 0.98, 0.98"
51.3334,-0.20899999999999996,127,21.695982962486976,5.8536181660718904,"1, 0.8627450980392157,0.8627450980392157"
51.3334,-0.189,130,21.199714486212365,6.132158057343082,"1, 0.9411764705882353,0.9411764705882353"
51.3334,-0.16899999999999998,135,20.784865061300604,6.495110726090633,"1, 0.98, 0.98"
51.3334,-0.14899999999999997,122,20.456388781121426,5.963906987952344,"1, 0.9019607843137255,0.9019607843137255"
51.3334,-0.129,88,20.218495847847333,4.352450383165837,"1, 0.47058823529411764,0.47058823529411764"
51.3334,-0.10899999999999999,91,20.074406927534007,4.533135167006335,"1, 0.5098039215686274,0.5098039215686274"
51.3334,-0.08899999999999997,145,20.026146904113237,7.240534122428612,"1, 0.98, 0.98"
51.3334,-0.069,145,20.074406927534007,7.223127463911194,"1, 0.98, 0.98"
51.3334,-0.04899999999999999,102,20.218495847847333,5.044885671396766,"1, 0.6274509803921569,0.6274509803921569"
51.3334,-0.02899999999999997,196,20.456388781121422,9.581358767529997,"1, 0.98, 0.98"
