,Station,2016,2017,2018,2019,2020,2021,2022,Average_traffic,Colors,X,Y
35,Canning Town,11913321.0,12574149.0,13345625.0,14826082.0,10546032.0,7522672.0,11594723.0,10058469.0,"0.49707654999999995,0.49707654999999995,1",0.008171037,51.51383713
36,Cannon Street,8983249.0,8996282.0,7399745.0,7108243.0,1559861.0,2147772.0,3788997.0,4428700.0,"0.778565,0.778565,1",-0.090694851,51.51143372
37,Canons Park,2925484.0,2918453.0,2893090.0,2981768.0,1501564.0,1249231.0,2055535.0,1942805.857142857,"0.9028597071428571,0.9028597071428571,1",-0.294653741,51.60775952
38,Chalfont & Latimer,1488465.0,1594941.0,1789548.0,1766734.0,818368.0,736602.0,1303138.0,1144190.142857143,"0.9427904928571429,0.9427904928571429,1",-0.560534956,51.66802547
39,Chalk Farm,5608603.0,5556107.0,5232138.0,5448344.0,1661516.0,2195398.0,4002534.0,3442291.0,"0.82788545,0.82788545,1",-0.153728009,51.5440831
40,Chancery Lane,18189655.0,16775017.0,17033055.0,17253849.0,3405923.0,5469516.0,8530236.0,9781085.142857144,"0.5109457428571429,0.5109457428571429,1",-0.111677427,51.51812323
41,Charing Cross,8126588.0,18476801.0,18895518.0,19477585.0,3400411.0,7154835.0,13658817.0,11580566.714285715,"0.4209716642857143,0.4209716642857143,1",-0.124754687,51.50859321
42,Chesham,1069954.0,1081174.0,1121663.0,1170792.0,616342.0,507495.0,869938.0,766772.0,"0.9616614,0.9616614,1",-0.611219246,51.70503045
43,Chigwell,531799.0,477501.0,503402.0,524833.0,247222.0,192328.0,312653.0,322562.71428571426,"0.9838718642857143,0.9838718642857143,1",0.074526611,51.61787193
44,Chiswick Park,2292764.0,2138042.0,2090004.0,2443330.0,1067866.0,1013033.0,1901398.0,1521953.2857142857,"0.9239023357142857,0.9239023357142857,1",-0.267746874,51.49430059
45,Chorleywood,1070254.0,1469208.0,1402308.0,1492279.0,769367.0,803805.0,1340211.0,1039596.8571428572,"0.9480201571428571,0.9480201571428571,1",-0.51836599,51.65421786
46,Clapham Common,10043328.0,9926782.0,9711927.0,9644363.0,4500440.0,4712092.0,7706807.0,6600344.428571428,"0.6699827785714285,0.6699827785714285,1",-0.138311459,51.46172793
47,Clapham North,6903645.0,6498663.0,6009179.0,6136734.0,2868042.0,3273797.0,5215179.0,4285942.0,"0.7857029,0.7857029,1",-0.129531054,51.46484373
48,Clapham South,8797066.0,8205230.0,7977126.0,8095216.0,3382641.0,3758231.0,6132625.0,5364438.428571428,"0.7317780785714285,0.7317780785714285,1",-0.147982099,51.45259983
49,Cockfosters,2040080.0,1828835.0,1779062.0,1864419.0,886857.0,836566.0,1410899.0,1229519.7142857143,"0.9385240142857143,0.9385240142857143,1",-0.149614715,51.65168753
50,Colindale,6227278.0,6781366.0,7109001.0,7700808.0,4335294.0,3432152.0,5947593.0,5043744.857142857,"0.7478127571428571,0.7478127571428571,1",-0.250142588,51.59528652
51,Colliers Wood,6715162.0,6346134.0,6398401.0,6836968.0,3666803.0,3024060.0,4986160.0,4465503.714285715,"0.7767248142857143,0.7767248142857143,1",-0.177700937,51.41807189
52,Covent Garden,17188811.0,16524381.0,15756864.0,16550043.0,1621548.0,7484432.0,12986920.0,10132026.857142856,"0.49339865714285713,0.49339865714285713,1",-0.124159261,51.51290959
53,Croxley,1078029.0,1078929.0,1062083.0,1121607.0,515420.0,487950.0,810760.0,725249.8571428572,"0.9637375071428571,0.9637375071428571,1",-0.441710993,51.64704634
54,Dagenham East,2976440.0,2850852.0,2889563.0,2953138.0,2490581.0,1496282.0,2328494.0,2144130.0,"0.8927935,0.8927935,1",0.16587487,51.54411673
