Mode,NLC,ASC,Station,Coverage,Source,entries,entries,entries,entries,exits,exits,exits,exits,en/ex
LU,500,ACTu,Acton Town,Station entry / exit,Gateline,"9,705","10,159","6,363","4,971","9,696","10,014","6,551","5,032","5,794,685"
LU,502,ALDu,Aldgate,Station entry / exit,Gateline,"16,523","15,132","5,719","4,431","17,078","16,158","7,335","5,281","9,218,140"
LU,503,ALEu,Aldgate East,Station entry / exit,Gateline,"23,311","24,645","17,113","13,418","22,008","23,164","15,313","11,245","13,707,738"
LU,505,ALPu,Alperton,Station entry / exit,Gateline,"4,541","4,517","3,302","2,361","4,740","4,731","3,327","2,472","2,796,159"
LU,506,AMEu,Amersham,Station entry / exit,Gateline,"3,886","3,644","2,031","1,230","3,662","3,514","1,961","1,123","2,130,207"
LU,507,ANGu,Angel,Station entry / exit,Gateline,"29,571","30,477","21,192","13,578","29,468","31,472","22,223","13,315","17,661,269"
LU,508,ARCu,Archway,Station entry / exit,Gateline,"15,025","15,351","10,117","7,301","13,979","13,687","8,868","6,858","8,608,964"
LU,509,AGRu,Arnos Grove,Station entry / exit,Gateline,"7,373","7,574","5,437","3,939","6,630","6,845","5,107","3,737","4,263,555"
LU,510,ARLu,Arsenal,Station entry / exit,Gateline,"4,570","4,868","3,561","2,646","4,027","4,138","3,102","2,579","2,651,488"
LU,511,BSTu,Baker Street,Station entry / exit,Gateline,"46,981","46,915","31,690","22,744","45,053","44,955","29,754","21,644","27,349,471"
LU,512,BALu,Balham LU,Station entry / exit,Gateline,"21,289","22,155","15,453","10,326","21,157","21,523","14,610","10,348","12,706,683"
LU,513,BNKu,Bank and Monument,Station entry / exit,Gateline,"109,667","103,656","27,972","18,394","107,710","102,504","27,451","16,624","56,888,921"
LU,501,BARu,Barbican,Station entry / exit,Gateline,"20,883","18,812","7,139","4,806","20,493","18,733","7,309","4,826","11,160,091"
LU,514,BKGu,Barking,Station entry / exit,Gateline,"29,666","29,790","21,347","14,241","28,795","28,362","20,333","13,771","17,491,858"
LU,515,BDEu,Barkingside,Station entry / exit,Gateline,"2,807","2,643","1,352",910,"2,734","2,606","1,357",919,"1,557,996"
LU,516,BCTu,Barons Court,Station entry / exit,Gateline,"12,014","11,882","6,638","5,131","11,085","10,791","6,147","5,039","6,689,966"
LU,517,BAYu,Bayswater,Station entry / exit,Gateline,"6,561","7,549","7,342","6,093","6,259","7,040","7,025","5,165","4,335,552"
LU,518,BECu,Becontree,Station entry / exit,Gateline,"6,125","6,132","4,022","2,592","5,718","5,610","3,706","2,424","3,477,091"
LU,519,BPKu,Belsize Park,Station entry / exit,Gateline,"10,457","10,324","5,606","4,551","9,624","9,302","5,355","4,355","5,811,597"
LU,787,BERu,Bermondsey,Station entry / exit,Gateline,"15,705","16,351","11,730","8,642","15,100","15,503","11,730","8,754","9,416,737"
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Gateline,"23,056","25,402","20,173","15,086","21,759","24,110","19,302","14,650","14,171,711"
LU,521,BLFu,Blackfriars LU,Station entry / exit,Gateline,"27,247","25,520","9,581","7,050","25,742","24,010","8,411","5,710","14,288,212"
LU,522,BHRu,Blackhorse Road,Station entry / exit,Gateline,"15,711","16,092","10,820","8,180","14,523","14,317","9,740","7,564","9,058,828"
LU,524,BDSu,Bond Street,Station entry / exit,Gateline,"60,931","63,857","44,584","31,953","58,764","61,996","43,164","30,283","36,165,875"
LU,525,BORu,Borough,Station entry / exit,Gateline,"9,376","9,531","5,880","3,782","9,052","9,439","6,369","3,868","5,413,775"
LU,526,BOSu,Boston Manor,Station entry / exit,Gateline,"3,498","3,615","2,256","1,756","3,488","3,491","2,045","1,781","2,066,569"
LU,527,BGRu,Bounds Green,Station entry / exit,Gateline,"9,889","10,093","7,042","5,430","9,071","9,203","6,482","5,236","5,749,650"
