Mode,NLC,ASC,Station,Coverage,Source,entries,entries,entries,entries,exits,exits,exits,exits,en/ex
LU,544,CHGu,Chigwell,Station entry / exit,Gateline,"1,029",976,405,241,860,804,384,249,"524,833"
LU,545,CHPu,Chiswick Park,Station entry / exit,Gateline,"4,042","3,962","2,058","1,304","4,613","4,310","1,957","1,331","2,443,330"
LU,546,CWDu,Chorleywood,Station entry / exit,Gateline,"2,624","2,250","1,240",928,"2,605","2,289","1,166","1,013","1,492,279"
LU,547,CPCu,Clapham Common,Station entry / exit,Gateline,"13,604","15,410","14,237","8,801","16,290","17,766","15,001","9,556","9,644,363"
LU,548,CPNu,Clapham North,Station entry / exit,Gateline,"8,260","9,700","9,572","5,631","10,618","11,599","9,764","6,036","6,136,734"
LU,549,CPSu,Clapham South,Station entry / exit,Gateline,"13,189","13,665","9,909","6,474","13,303","13,147","9,572","6,996","8,095,216"
LU,550,CFSu,Cockfosters,Station entry / exit,Gateline,"2,905","2,975","2,709","1,765","2,882","2,956","2,764","1,923","1,864,419"
LU,551,COLu,Colindale,Station entry / exit,Gateline,"13,156","13,252","8,589","6,261","12,547","12,298","7,808","6,179","7,700,808"
LU,552,CLWu,Colliers Wood,Station entry / exit,Gateline,"11,364","11,643","8,876","6,187","10,643","10,832","8,396","6,207","6,836,968"
LU,553,COVu,Covent Garden,Station entry / exit,Gateline,"21,574","25,318","27,871","18,809","24,249","30,399","39,451","22,924","16,550,043"
LU,554,CRXu,Croxley,Station entry / exit,Gateline,"2,054","1,932",948,423,"1,982","1,835",911,456,"1,121,607"
LU,555,DGEu,Dagenham East,Station entry / exit,Gateline,"5,327","5,268","3,012","1,870","4,886","4,672","2,590","1,805","2,953,138"
LU,556,DGHu,Dagenham Heathway,Station entry / exit,Gateline,"9,980","10,146","6,387","4,161","9,774","9,849","6,144","4,141","5,853,372"
LU,557,DEBu,Debden,Station entry / exit,Gateline,"4,242","4,107","2,278","1,307","4,095","3,748","2,079","1,283","2,380,050"
LU,558,DHLu,Dollis Hill,Station entry / exit,Gateline,"6,790","7,055","5,163","3,901","6,154","6,253","4,602","3,689","4,016,751"
LU,560,EBYu,Ealing Broadway,Station entry / exit,Gateline,"27,187","27,254","18,290","12,814","26,109","26,495","18,184","12,981","16,088,979"
LU,561,ECMu,Ealing Common,Station entry / exit,Gateline,"4,999","5,132","3,689","2,565","5,062","5,013","3,540","2,596","3,068,294"
LU,562,ECTu,Earl's Court,Station entry / exit,Gateline,"29,958","32,453","26,122","20,740","29,366","32,403","27,040","20,306","19,127,125"
LU,563,EACu,East Acton,Station entry / exit,Gateline,"6,779","6,880","4,541","3,283","6,785","6,787","4,402","3,356","4,081,695"
LU,565,EFYu,East Finchley,Station entry / exit,Gateline,"11,879","11,763","7,374","4,957","11,346","11,009","6,813","5,040","6,866,724"
LU,566,EHMu,East Ham,Station entry / exit,Gateline,"21,587","21,701","15,022","10,982","21,361","20,994","14,328","10,785","13,011,044"
LU,567,EPYu,East Putney,Station entry / exit,Gateline,"10,995","10,928","6,684","4,767","10,760","10,467","6,382","5,102","6,445,888"
LU,564,ETEu,Eastcote,Station entry / exit,Gateline,"4,994","4,789","2,663","1,592","4,866","4,579","2,550","1,628","2,825,453"
LU,568,EDGu,Edgware,Station entry / exit,Gateline,"8,270","8,006","5,643","4,115","7,947","7,741","5,580","4,152","4,922,141"
LU,774,ERBu,Edgware Road (Bak),Station entry / exit,Gateline,"8,106","8,031","5,785","3,735","7,977","7,809","5,647","3,660","4,856,904"
LU,569,ERDu,Edgware Road (DIS),Station entry / exit,Gateline,"11,748","11,394","6,125","5,185","11,381","10,978","6,032","4,675","6,737,179"
LU,570,ELEu,Elephant & Castle LU,Station entry / exit,Gateline,"33,373","34,971","25,469","17,336","30,599","32,203","23,896","17,093","19,754,830"
LU,571,EPKu,Elm Park,Station entry / exit,Gateline,"5,560","5,503","3,100","1,607","5,411","5,312","3,046","1,620","3,143,319"
LU,542,EMBu,Embankment,Station entry / exit,Gateline,"34,107","36,581","31,437","16,549","33,299","35,096","28,288","15,051","20,963,697"
LU,572,EPPu,Epping,Station entry / exit,Gateline,"6,576","6,615","5,222","2,913","6,925","7,017","4,917","2,903","4,084,533"
LU,574,EUSu,Euston LU,Station entry / exit,Gateline,"65,024","66,102","51,213","45,001","64,466","69,479","53,349","42,635","41,092,380"
LU,575,ESQu,Euston Square,Station entry / exit,Gateline,"25,170","22,707","9,872","7,900","25,470","23,794","10,106","7,426","14,119,388"
LU,576,FLPu,Fairlop,Station entry / exit,Gateline,"2,181","2,117","1,514",817,"1,983","1,948","1,442",910,"1,248,117"
LU,577,FARu,Farringdon,Station entry / exit,Gateline,"48,563","44,090","11,243","6,329","50,143","44,087","12,181","6,427","25,924,012"
LU,578,FYCu,Finchley Central,Station entry / exit,Gateline,"14,583","14,105","8,475","5,063","14,736","14,235","7,724","5,519","8,485,023"
LU,579,FRDu,Finchley Road,Station entry / exit,Gateline,"15,313","15,760","10,806","7,991","14,863","15,101","10,224","7,831","9,187,606"
LU,580,FPKu,Finsbury Park,Station entry / exit,Gateline,"64,883","66,046","52,733","30,589","43,780","46,026","32,064","23,691","33,396,270"
LU,581,FBYu,Fulham Broadway,Station entry / exit,Gateline,"14,374","14,993","10,160","6,879","14,917","15,132","9,724","6,930","8,816,445"
LU,582,GHLu,Gants Hill,Station entry / exit,Gateline,"10,966","10,852","6,905","4,731","10,422","10,374","6,628","4,720","6,358,482"
LU,583,GRDu,Gloucester Road,Station entry / exit,Gateline,"22,343","24,152","18,356","13,888","21,493","23,152","16,767","12,534","13,738,684"
LU,584,GGRu,Golders Green,Station entry / exit,Gateline,"13,044","13,121","9,050","7,097","12,800","12,751","8,704","7,257","7,895,394"
LU,585,GHRu,Goldhawk Road,Station entry / exit,Gateline,"3,583","3,588","2,635","1,584","3,469","3,365","2,341","1,650","2,127,422"
LU,586,GSTu,Goodge Street,Station entry / exit,Gateline,"15,404","14,294","6,870","3,948","15,092","14,119","6,797","3,745","8,507,731"
LU,587,GRHu,Grange Hill,Station entry / exit,Gateline,"1,222","1,146",546,311,"1,117","1,025",472,308,"652,468"
LU,588,GPSu,Great Portland Street,Station entry / exit,Gateline,"15,164","13,856","4,871","3,400","14,284","12,453","4,485","2,941","7,974,138"
LU,590,GPKu,Green Park,Station entry / exit,Gateline,"59,329","62,058","44,817","30,878","66,672","71,026","54,213","38,191","39,059,216"
LU,589,GFDu,Greenford,Station entry / exit,Gateline,"7,068","6,924","4,512","2,955","7,010","6,727","4,354","3,004","4,170,423"
LU,591,GUNu,Gunnersbury,Station entry / exit,Gateline,"10,418","9,583","3,945","2,487","9,688","8,856","3,445","2,438","5,522,635"
LU,592,HAIu,Hainault,Station entry / exit,Gateline,"6,413","6,431","3,771","2,334","6,025","5,966","3,718","2,448","3,644,122"
LU,593,HMDu,Hammersmith (DIS),Station entry / exit,Gateline,"45,437","46,131","29,971","21,359","44,616","45,882","29,458","21,649","27,049,240"
LU,773,HMSu,Hammersmith (H&C),Station entry / exit,Gateline,"17,707","17,827","13,509","7,426","16,154","16,108","12,296","6,961","10,252,785"
LU,594,HMPu,Hampstead,Station entry / exit,Gateline,"7,128","7,463","5,581","4,700","7,627","7,838","5,990","5,290","4,665,745"
LU,595,HLNu,Hanger Lane,Station entry / exit,Gateline,"6,181","6,124","3,776","2,512","5,862","5,759","3,545","2,449","3,548,004"
LU,596,HARu,Harlesden,Station entry / exit,Gateline,"5,337","5,189","2,856","1,859","5,267","4,967","2,828","1,891","3,056,499"
LU,597,HAWu,Harrow & Wealdstone,Station entry / exit,Gateline,"8,173","8,309","4,895","3,356","7,661","7,587","4,518","3,316","4,661,780"
LU,598,HOHu,Harrow-on-the-Hill,Station entry / exit,Gateline,"17,326","17,320","11,533","7,984","18,451","18,467","11,697","8,501","10,698,286"
LU,779,HTXu,Hatton Cross,Station entry / exit,Gateline,"5,315","5,480","4,089","3,521","4,967","5,161","3,887","3,256","3,238,018"
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry / exit,Gateline,"11,989","14,903","13,269","14,377","10,138","12,744","10,787","11,975","7,881,446"
LU,781,HRFu,Heathrow Terminal 4 LU,Station entry / exit,Gateline,"3,179","3,824","3,556","3,802","2,718","3,583","3,399","3,183","2,125,220"
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry / exit,Gateline,"6,931","8,358","7,063","8,615","5,674","7,698","6,069","6,700","4,476,640"
LU,601,HNDu,Hendon Central,Station entry / exit,Gateline,"12,643","12,468","7,250","5,517","11,849","11,373","6,368","5,328","7,190,413"
LU,602,HBTu,High Barnet,Station entry / exit,Gateline,"7,038","7,073","4,334","2,775","6,671","6,623","4,183","2,863","4,047,339"
LU,605,HSTu,High Street Kensington,Station entry / exit,Gateline,"19,321","19,497","13,166","10,598","19,255","18,833","12,663","9,582","11,691,230"
LU,603,HBYu,Highbury & Islington,Station entry / exit,Gateline,"27,099","29,140","22,894","14,191","28,673","30,278","25,201","16,531","17,504,715"
LU,604,HIGu,Highgate,Station entry / exit,Gateline,"9,356","9,463","6,630","4,249","9,376","9,224","6,449","4,518","5,652,865"
LU,606,HDNu,Hillingdon,Station entry / exit,Gateline,"2,993","2,994","1,819","1,145","2,594","2,571","1,616","1,160","1,648,055"
LU,607,HOLu,Holborn,Station entry / exit,Gateline,"51,033","51,568","30,995","18,535","56,295","55,958","33,212","19,218","31,253,089"
LU,608,HPKu,Holland Park,Station entry / exit,Gateline,"6,264","6,073","4,133","2,958","6,063","5,830","4,277","3,050","3,722,034"
LU,609,HRDu,Holloway Road,Station entry / exit,Gateline,"10,986","11,324","7,994","5,498","10,985","10,947","7,676","5,629","6,687,750"
LU,610,HCHu,Hornchurch,Station entry / exit,Gateline,"3,801","3,611","1,980",872,"3,780","3,533","2,080",878,"2,139,412"
LU,611,HNCu,Hounslow Central,Station entry / exit,Gateline,"5,937","5,972","4,233","3,164","5,962","5,927","4,247","3,150","3,635,704"
