Mode,NLC,ASC,Station,Coverage,Source,Entries,Entries,Entries,Entries,Exits,Exits,Exits,Exits,en/ex
LU,546,CWDu,Chorleywood,Station entry / exit,Scaled,950,780,288,245,778,698,303,261,"769,367"
LU,547,CPCu,Clapham Common,Station entry / exit,Gateline,"4,137","4,248","3,249","2,408","4,451","4,600","3,578","2,677","4,500,440"
LU,548,CPNu,Clapham North,Station entry / exit,Gateline,"2,806","2,848","2,223","1,627","2,714","2,685","2,085","1,587","2,868,042"
LU,549,CPSu,Clapham South,Station entry / exit,Gateline,"3,310","3,459","2,229","1,543","3,434","3,498","2,232","1,558","3,382,641"
LU,550,CFSu,Cockfosters,Station entry / exit,Gateline,902,848,613,477,857,827,623,453,"886,857"
LU,551,COLu,Colindale,Station entry / exit,Gateline,"4,566","4,551","2,586","1,848","4,374","4,338","2,414","1,762","4,335,294"
LU,552,CLWu,Colliers Wood,Station entry / exit,Gateline,"3,775","3,774","2,547","1,731","3,554","3,573","2,418","1,627","3,666,803"
LU,553,COVu,Covent Garden,Station entry / exit,Gateline,"1,312","1,396","1,452","1,075","1,493","1,547","1,795","1,301","1,621,548"
LU,554,CRXu,Croxley,Station entry / exit,Gateline,575,582,149,103,589,588,165,111,"515,420"
LU,555,DGEu,Dagenham East,Station entry / exit,Gateline,"2,783","2,757","1,306",806,"2,558","2,460","1,209",743,"2,490,581"
LU,556,DGHu,Dagenham Heathway,Station entry / exit,Gateline,"4,904","4,731","2,371","1,563","4,817","4,628","2,339","1,493","4,552,421"
LU,557,DEBu,Debden,Station entry / exit,Gateline,"1,738","1,607",614,384,"1,654","1,488",607,384,"1,512,812"
LU,558,DHLu,Dollis Hill,Station entry / exit,Gateline,"2,899","2,916","1,856","1,205","2,691","2,688","1,648","1,135","2,754,026"
LU,560,EBYu,Ealing Broadway,Station entry / exit,Gateline,"8,047","8,180","4,403","3,036","7,920","8,056","4,320","2,954","7,717,377"
LU,561,ECMu,Ealing Common,Station entry / exit,Gateline,"1,667","1,687",941,679,"1,636","1,653",931,682,"1,610,901"
LU,562,ECTu,Earl's Court,Station entry / exit,Gateline,"7,975","8,301","4,821","3,473","7,956","8,269","4,824","3,524","7,898,110"
LU,563,EACu,East Acton,Station entry / exit,Gateline,"2,810","2,760","1,498","1,159","2,867","2,755","1,470","1,162","2,726,902"
LU,565,EFYu,East Finchley,Station entry / exit,Gateline,"3,067","3,129","1,511","1,060","2,961","2,967","1,462","1,054","2,870,898"
LU,566,EHMu,East Ham,Station entry / exit,Gateline,"9,028","9,045","5,011","3,062","8,744","8,646","4,750","2,707","8,485,806"
LU,567,EPYu,East Putney,Station entry / exit,Gateline,"3,224","3,252","1,648","1,035","3,205","3,203","1,631","1,094","3,056,532"
LU,564,ETEu,Eastcote,Station entry / exit,Gateline,"1,507","1,467",694,424,"1,438","1,374",674,394,"1,365,559"
LU,568,EDGu,Edgware,Station entry / exit,Gateline,"2,896","2,737","1,543","1,139","3,003","2,857","1,567","1,170","2,815,355"
LU,774,ERBu,Edgware Road (Bak),Station entry / exit,Gateline,"2,469","2,380","1,372",769,"2,524","2,433","1,364",766,"2,362,854"
LU,569,ERDu,Edgware Road (DIS),Station entry / exit,Gateline,"3,173","2,985","1,537",983,"2,904","2,740","1,431",905,"2,835,355"
LU,570,ELEu,Elephant & Castle LU,Station entry / exit,Gateline,"8,604","9,011","6,854","4,357","7,865","8,182","6,410","4,168","8,559,895"
LU,571,EPKu,Elm Park,Station entry / exit,Gateline,"2,264","2,095",867,522,"2,183","2,047",880,534,"2,007,136"
LU,542,EMBu,Embankment,Station entry / exit,Gateline,"4,455","4,136","2,239","1,903","4,182","3,813","1,835","1,411","4,055,183"
LU,572,EPPu,Epping,Station entry / exit,Scaled,"1,999","1,937",999,669,"2,058","2,031",996,624,"1,909,072"
LU,574,EUSu,Euston LU,Station entry / exit,Gateline,"8,432","8,669","5,330","5,528","8,621","9,525","5,618","4,881","8,794,406"
LU,575,ESQu,Euston Square,Station entry / exit,Gateline,"4,116","3,928","1,504","1,131","3,929","3,864","1,468","1,115","3,668,927"
LU,576,FLPu,Fairlop,Station entry / exit,Gateline,779,723,368,224,704,671,336,217,"687,862"
LU,577,FARu,Farringdon,Station entry / exit,Gateline,"6,987","6,591","1,930","1,075","6,590","6,113","1,804","1,004","5,899,244"
LU,578,FYCu,Finchley Central,Station entry / exit,Scaled,"3,992","3,772","1,965","1,222","3,966","3,808","1,851","1,305","3,718,793"
LU,579,FRDu,Finchley Road,Station entry / exit,Gateline,"4,906","5,152","2,857","2,036","4,620","4,872","2,715","1,921","4,696,641"
LU,580,FPKu,Finsbury Park,Station entry / exit,Gateline,"14,626","11,222","7,820","6,349","21,098","8,939","11,559","6,296","15,817,399"
LU,581,FBYu,Fulham Broadway,Station entry / exit,Gateline,"4,120","4,174","2,019","1,461","4,148","4,104","1,875","1,402","3,911,983"
LU,582,GHLu,Gants Hill,Station entry / exit,Gateline,"3,929","3,895","2,196","1,757","3,724","3,725","2,086","1,674","3,741,492"
LU,583,GRDu,Gloucester Road,Station entry / exit,Gateline,"4,215","4,141","2,111","1,529","4,039","4,022","2,092","1,450","3,933,949"
LU,584,GGRu,Golders Green,Station entry / exit,Gateline,"4,016","4,035","2,221","1,676","4,005","4,005","2,176","1,682","3,897,645"
LU,585,GHRu,Goldhawk Road,Station entry / exit,Gateline,"1,010","1,006",589,384,993,989,589,369,"972,028"
LU,586,GSTu,Goodge Street,Station entry / exit,Gateline,"1,812","1,720",582,328,"1,880","1,785",528,340,"1,625,476"
LU,587,GRHu,Grange Hill,Station entry / exit,Gateline,346,325,142,80,313,274,122,78,"296,723"
LU,588,GPSu,Great Portland Street,Station entry / exit,Gateline,"2,965","2,855","1,242",712,"2,824","2,693","1,106",705,"2,635,853"
LU,590,GPKu,Green Park,Station entry / exit,Gateline,"9,327","8,549","5,875","4,470","9,802","9,035","6,398","5,120","9,446,617"
LU,589,GFDu,Greenford,Station entry / exit,Gateline,"3,165","3,108","1,708","1,028","3,094","2,996","1,604",977,"2,964,852"
LU,591,GUNu,Gunnersbury,Station entry / exit,Gateline,"2,349","2,288","1,214",784,"2,233","2,188","1,206",782,"2,178,993"
LU,592,HAIu,Hainault,Station entry / exit,Gateline,"2,818","2,782","1,386",961,"2,730","2,686","1,364",914,"2,625,053"
LU,593,HMDu,Hammersmith (DIS),Station entry / exit,Gateline,"10,474","9,913","5,625","3,931","10,224","9,653","5,770","3,951","9,895,644"
LU,773,HMSu,Hammersmith (H&C),Station entry / exit,Gateline,"4,311","4,407","1,985","1,514","3,986","3,979","1,873","1,370","3,929,123"
LU,594,HMPu,Hampstead,Station entry / exit,Gateline,"2,141","2,159","1,570","1,109","2,273","2,215","1,740","1,249","2,259,516"
LU,595,HLNu,Hanger Lane,Station entry / exit,Gateline,"2,048","2,007","1,122",717,"1,941","1,889","1,052",666,"1,904,069"
LU,596,HARu,Harlesden,Station entry / exit,Gateline,"2,699","2,590","1,263",775,"2,614","2,481","1,197",774,"2,464,347"
LU,597,HAWu,Harrow & Wealdstone,Station entry / exit,Gateline,"3,447","3,405","1,731","1,005","3,002","2,973","1,529",873,"3,033,409"
LU,598,HOHu,Harrow-on-the-Hill,Station entry / exit,Gateline,"6,373","6,222","3,651","2,518","6,426","6,256","3,644","2,511","6,185,709"
LU,779,HTXu,Hatton Cross,Station entry / exit,Gateline,"1,553","1,509",972,837,"1,564","1,554",992,833,"1,562,318"
LU,781,HRFu,Heathrow Terminal 4 LU,,,,,,,,,,,
LU,783,HRVu,Heathrow Terminal 5 LU,Station entry / exit,Gateline,"1,079","1,096","1,200","1,451",808,"1,032",881,"1,070","1,173,177"
LU,780,HRCu,Heathrow Terminals 123 LU,Station entry / exit,Gateline,"1,753","1,844","1,605","2,010","1,427","1,707","1,355","1,438","1,859,318"
LU,601,HNDu,Hendon Central,Station entry / exit,Gateline,"3,630","3,551","2,028","1,550","3,354","3,269","1,838","1,410","3,385,014"
LU,602,HBTu,High Barnet,Station entry / exit,Gateline,"2,262","2,193",905,678,"2,133","2,062",871,685,"2,028,542"
LU,605,HSTu,High Street Kensington,Station entry / exit,Gateline,"3,843","3,694","2,214","1,560","3,603","3,356","1,907","1,411","3,574,133"
LU,603,HBYu,Highbury & Islington,Station entry / exit,Gateline,"8,099","8,720","5,117","3,511","8,269","8,986","5,361","3,680","8,221,119"
LU,604,HIGu,Highgate,Station entry / exit,Gateline,"2,319","2,294","1,408",996,"2,438","2,396","1,525","1,092","2,341,117"
LU,606,HDNu,Hillingdon,Station entry / exit,Gateline,944,888,349,253,898,875,373,243,"840,109"
LU,607,HOLu,Holborn,Station entry / exit,Gateline,"7,660","7,405","3,429","2,072","7,902","7,619","3,431","2,091","7,171,859"
LU,608,HPKu,Holland Park,Station entry / exit,Gateline,"1,997","1,953","1,139",871,"2,025","1,965","1,344","1,112","1,993,894"
LU,609,HRDu,Holloway Road,Station entry / exit,Gateline,"2,220","2,248","1,565","1,149","2,246","2,207","1,541","1,149","2,260,557"
LU,610,HCHu,Hornchurch,Station entry / exit,Gateline,"1,382","1,319",448,286,"1,403","1,364",499,323,"1,247,419"
LU,611,HNCu,Hounslow Central,Station entry / exit,Gateline,"2,012","2,044","1,237",846,"1,918","1,973","1,219",862,"1,947,240"
LU,612,HNEu,Hounslow East,Station entry / exit,Gateline,"2,276","2,328","1,531","1,112","2,374","2,406","1,545","1,105","2,333,768"
LU,613,HNWu,Hounslow West,Station entry / exit,Gateline,"1,824","1,810","1,223",924,"1,805","1,787","1,202",935,"1,825,754"
LU,614,HPCu,Hyde Park Corner,Station entry / exit,Gateline,"1,578","1,509","1,475",915,"1,545","1,478","1,715","1,077","1,689,055"
LU,615,ICKu,Ickenham,Station entry / exit,Gateline,621,592,223,143,606,576,243,148,"554,519"
LU,616,KENu,Kennington,Station entry / exit,Gateline,"2,473","2,620","1,439","1,097","2,345","2,465","1,442","1,096","2,398,479"
LU,617,KGNu,Kensal Green,Station entry / exit,Gateline,"1,415","1,452",797,569,"1,358","1,370",767,584,"1,354,080"
LU,618,OLYu,Kensington (Olympia),LU boarding / alighting,Scaled,10,13,97,82,15,18,59,54,"35,234"
LU,619,KTNu,Kentish Town,Station entry / exit,Gateline,"3,660","3,759","2,376","1,588","2,885","2,973","1,797","1,296","3,257,153"
LU,620,KETu,Kenton,Station entry / exit,Gateline,"1,713","1,555",913,505,"1,627","1,487",893,507,"1,561,991"
LU,621,KEWu,Kew Gardens,Station entry / exit,Gateline,"1,703","1,726","1,500","1,023","1,709","1,721","1,490","1,028","1,808,585"
LU,622,KILu,Kilburn,Station entry / exit,Gateline,"3,961","4,008","2,625","2,003","3,841","3,872","2,610","2,060","3,945,831"
LU,623,KPKu,Kilburn Park,Station entry / exit,Gateline,"1,497","1,526",938,672,"1,482","1,533",940,661,"1,482,189"
LU,625,KXXu,King's Cross St. Pancras,Station entry / exit,Gateline,"19,393","19,749","10,610","9,779","18,716","19,403","10,381","8,866","18,837,593"
LU,624,KBYu,Kingsbury,Station entry / exit,Gateline,"3,458","3,465","1,849","1,176","3,327","3,270","1,795","1,097","3,236,734"
LU,626,KNBu,Knightsbridge,Station entry / exit,Gateline,"4,652","4,617","2,718","1,721","4,590","4,552","2,600","1,675","4,464,303"
LU,627,LGRu,Ladbroke Grove,Station entry / exit,Gateline,"2,951","3,007","1,659",994,"2,953","2,975","1,611",988,"2,835,701"
LU,628,LAMu,Lambeth North,Station entry / exit,Gateline,"1,245","1,243",767,539,"1,175","1,180",739,526,"1,195,291"
LU,629,LANu,Lancaster Gate,Station entry / exit,Gateline,"1,464","1,486","1,158",932,"1,395","1,431","1,075",895,"1,503,898"
LU,630,LATu,Latimer Road,Station entry / exit,Gateline,"1,236","1,225",533,366,"1,176","1,183",488,360,"1,121,245"
LU,631,LSQu,Leicester Square,Station entry / exit,Gateline,"3,930","3,812","3,196","2,717","3,717","3,553","2,501","2,036","3,950,320"
LU,632,LEYu,Leyton,Station entry / exit,Gateline,"7,509","7,596","5,037","3,479","7,172","6,827","4,812","3,410","7,325,632"
LU,633,LYSu,Leytonstone,Station entry / exit,Gateline,"5,786","5,893","3,488","2,437","5,703","5,776","3,397","2,430","5,650,715"
LU,634,LSTu,Liverpool Street LU,Station entry / exit,Gateline,"16,460","16,387","8,674","5,972","17,572","17,711","9,092","6,000","16,267,905"
LU,635,LONu,London Bridge LU,Station entry / exit,Gateline,"24,342","24,979","18,901","12,689","23,442","24,181","19,033","11,979","24,721,911"
LU,636,LTNu,Loughton,Station entry / exit,Gateline,"1,745","1,742","1,181",750,"1,772","1,809","1,156",738,"1,747,510"
LU,637,MDVu,Maida Vale,Station entry / exit,Gateline,"1,599","1,611",970,642,"1,534","1,539",952,643,"1,538,572"
LU,638,MNRu,Manor House,Station entry / exit,Gateline,"3,736","3,623","2,466","1,906","3,449","3,354","2,292","1,782","3,599,717"
LU,639,MANu,Mansion House,Station entry / exit,Gateline,"1,254","1,088",303,226,"1,243","1,066",293,219,"1,067,130"
LU,640,MARu,Marble Arch,Station entry / exit,Gateline,"3,626","3,680","2,436","1,632","3,662","3,636","2,532","1,792","3,657,164"
LU,641,MYBu,Marylebone LU,Station entry / exit,Gateline,"2,694","2,700","1,308",964,"2,847","2,919","1,408",883,"2,630,669"
LU,642,MLEu,Mile End,Station entry / exit,Gateline,"6,379","6,582","5,464","4,508","6,200","6,266","5,271","4,620","6,787,729"
LU,643,MHEu,Mill Hill East,Station entry / exit,Scaled,975,968,295,203,829,844,283,223,"813,926"
LU,646,MPKu,Moor Park,Station entry / exit,Gateline,699,649,155,121,669,635,178,114,"593,315"
LU,645,MGTu,Moorgate,Station entry / exit,Gateline,"6,651","6,201","1,957","1,083","6,674","6,177","2,120","1,223","5,839,734"
LU,647,MORu,Morden,Station entry / exit,Gateline,"5,801","5,701","3,282","2,504","5,487","5,333","3,075","2,361","5,488,034"
LU,648,MCRu,Mornington Crescent,Station entry / exit,Gateline,"1,501","1,436",717,488,"1,364","1,290",596,392,"1,331,040"
LU,649,NEAu,Neasden,Station entry / exit,Gateline,"2,723","2,703","1,479",947,"2,450","2,394","1,359",892,"2,478,884"
LU,650,NEPu,Newbury Park,Station entry / exit,Gateline,"3,382","3,359","1,704","1,976","2,980","3,017","1,513","1,862","3,168,498"
LU,653,NACu,North Acton,Station entry / exit,Gateline,"3,845","3,884","2,332","1,545","3,780","3,705","2,211","1,483","3,717,589"
LU,654,NELu,North Ealing,Station entry / exit,Gateline,577,577,222,142,532,530,192,150,"507,381"
LU,789,NOGu,North Greenwich,Station entry / exit,Gateline,"9,432","9,419","6,699","5,360","9,409","9,434","6,774","5,133","9,641,852"
LU,656,NHRu,North Harrow,Station entry / exit,Gateline,"1,048","1,035",465,283,"1,018",980,438,285,"954,512"
LU,659,NWBu,North Wembley,Station entry / exit,Gateline,"1,307","1,331",691,401,"1,264","1,312",670,372,"1,225,092"
LU,655,NFDu,Northfields,Station entry / exit,Gateline,"2,015","1,953","1,036",746,"1,953","1,905","1,058",776,"1,899,266"
LU,657,NHTu,Northolt,Station entry / exit,Gateline,"3,644","3,568","1,924","1,303","3,445","3,339","1,823","1,286","3,383,878"
LU,660,NWPu,Northwick Park,Station entry / exit,Gateline,"2,620","2,611","1,191",773,"2,589","2,517","1,163",765,"2,426,206"
LU,661,NWDu,Northwood,Station entry / exit,Gateline,"1,680","1,631",615,450,"1,657","1,583",609,428,"1,515,209"
LU,662,NWHu,Northwood Hills,Station entry / exit,Gateline,"1,326","1,234",537,332,"1,244","1,152",506,318,"1,165,488"
LU,663,NHGu,Notting Hill Gate,Station entry / exit,Gateline,"5,678","5,932","3,436","2,389","5,763","6,114","3,631","2,467","5,682,051"
LU,664,OAKu,Oakwood,Station entry / exit,Gateline,"1,332","1,330",863,662,"1,279","1,283",833,657,"1,310,286"
LU,665,OLDu,Old Street,Station entry / exit,Gateline,"6,721","6,724","4,019","2,849","6,999","6,929","3,910","2,778","6,683,590"
LU,667,OSTu,Osterley,Station entry / exit,Gateline,"1,011",990,553,435,974,957,561,401,"963,611"
LU,668,OVLu,Oval,Station entry / exit,Gateline,"3,250","3,384","2,683","1,801","3,038","3,143","2,577","1,827","3,313,152"
LU,669,OXCu,Oxford Circus,Station entry / exit,Gateline,"14,857","13,762","8,722","5,730","15,495","14,328","9,438","6,012","14,598,777"
LU,670,PADu,Paddington TfL,Station entry / exit,Gateline,"11,725","11,864","6,605","5,044","11,648","12,108","6,591","4,540","11,420,070"
LU,671,PRYu,Park Royal,Station entry / exit,Gateline,"1,347","1,285",595,345,"1,357","1,320",615,361,"1,245,850"
LU,672,PGRu,Parsons Green,Station entry / exit,Gateline,"3,276","3,251","1,335",945,"3,288","3,217","1,291",961,"3,026,008"
LU,673,PERu,Perivale,Station entry / exit,Gateline,"1,585","1,552",914,559,"1,542","1,507",894,551,"1,503,990"
LU,674,PICu,Piccadilly Circus,Station entry / exit,Gateline,"4,243","3,951","3,396","3,001","3,788","3,562","2,829","2,291","4,175,738"
LU,776,PIMu,Pimlico,Station entry / exit,Gateline,"4,270","4,323","2,586","1,885","4,340","4,347","2,601","1,908","4,243,221"
LU,675,PINu,Pinner,Station entry / exit,Scaled,"1,448","1,457",670,466,"1,457","1,370",704,449,"1,360,437"
LU,676,PLWu,Plaistow,Station entry / exit,Gateline,"4,150","4,170","2,170","1,286","3,796","3,809","1,978","1,159","3,769,831"
LU,677,PRDu,Preston Road,Station entry / exit,Gateline,"2,118","2,151","1,171",779,"2,089","2,087","1,160",773,"2,030,454"
LU,678,PUTu,Putney Bridge,Station entry / exit,Gateline,"2,557","2,583","1,501","1,044","2,879","2,854","1,519","1,033","2,626,929"
LU,680,QPKu,Queen's Park,Station entry / exit,Gateline,"2,872","2,849","1,795","1,310","2,730","2,697","1,712","1,291","2,775,384"
LU,679,QBYu,Queensbury,Station entry / exit,Gateline,"3,004","2,994","1,720","1,031","2,943","2,930","1,642",988,"2,855,288"
LU,681,QWYu,Queensway,Station entry / exit,Gateline,"1,943","2,153","1,624","1,213","2,016","2,193","1,681","1,239","2,119,882"
LU,682,RCPu,Ravenscourt Park,Station entry / exit,Gateline,"2,126","2,110",800,631,"2,031","2,053",794,637,"1,921,494"
LU,683,RAYu,Rayners Lane,Station entry / exit,Gateline,"2,464","2,432","1,334",892,"2,411","2,371","1,310",881,"2,336,745"
LU,684,REDu,Redbridge,Station entry / exit,Gateline,"1,722","1,704",988,612,"1,535","1,505",857,538,"1,564,820"
LU,685,RPKu,Regent's Park,Station entry / exit,Gateline,"1,617","1,565",735,472,"1,817","1,777","1,065",681,"1,628,977"
LU,686,RMDu,Richmond,LU boarding / alighting,Manual Count,"1,882","2,453","1,509","1,478","2,092","2,215","1,357","1,588","2,167,117"
LU,687,RKYu,Rickmansworth,Station entry / exit,Gateline,"1,586","1,545",501,331,"1,507","1,477",525,331,"1,385,890"
LU,688,RODu,Roding Valley,Station entry / exit,Gateline,199,69,162,49,224,37,304,28,"190,163"
LU,690,ROYu,Royal Oak,Station entry / exit,Gateline,"1,337","1,362",688,489,"1,269","1,290",657,469,"1,251,188"
LU,691,RUIu,Ruislip,Station entry / exit,Gateline,997,985,533,332,996,979,530,332,"948,688"
LU,692,RUGu,Ruislip Gardens,Station entry / exit,Gateline,632,615,228,162,576,557,215,155,"549,192"
LU,693,RUMu,Ruislip Manor,Station entry / exit,Gateline,"1,072","1,068",464,253,"1,081","1,057",451,262,"988,143"
LU,694,RSQu,Russell Square,Station entry / exit,Gateline,"2,904","2,922","1,370","1,025","2,877","2,919","1,331","1,057","2,744,465"
LU,698,SVSu,Seven Sisters,Station entry / exit,Gateline,"10,474","10,755","6,979","5,058","9,999","10,294","6,616","4,812","10,305,872"
LU,700,SBCu,Shepherd's Bush LU,Station entry / exit,Gateline,"6,312","6,586","4,287","3,307","6,043","6,202","4,170","3,069","6,283,854"
LU,775,SBMu,Shepherd's Bush Market,Station entry / exit,Gateline,"1,551","1,575",972,668,"1,478","1,464",932,679,"1,499,390"
LU,702,SSQu,Sloane Square,Station entry / exit,Gateline,"6,934","6,638","2,817","1,980","6,733","6,437","2,862","1,879","6,276,139"
LU,703,SNBu,Snaresbrook,Station entry / exit,Gateline,"1,309","1,274",602,434,"1,214","1,182",562,441,"1,185,716"
LU,704,SELu,South Ealing,Station entry / exit,Gateline,"1,689","1,703",995,651,"1,657","1,661",970,667,"1,630,782"
LU,707,SHRu,South Harrow,Station entry / exit,Gateline,"1,624","1,589",857,577,"1,698","1,622",920,593,"1,581,956"
LU,708,SKNu,South Kensington,Station entry / exit,Gateline,"10,838","10,686","4,153","3,117","10,583","10,309","3,963","2,844","9,805,549"
LU,709,SKTu,South Kenton,Station entry / exit,Scaled,895,907,573,348,"1,065","1,271",557,402,"969,471"
LU,710,SRPu,South Ruislip,Station entry / exit,Gateline,"1,067","1,068",531,348,"1,029","1,023",529,328,"992,838"
LU,711,SWMu,South Wimbledon,Station entry / exit,Gateline,"2,097","2,024","1,264",821,"2,013","1,959","1,194",778,"1,992,804"
LU,712,SWFu,South Woodford,Station entry / exit,Gateline,"2,244","2,155","1,304",812,"2,564","2,512","1,452",906,"2,308,574"
LU,705,SFSu,Southfields,Station entry / exit,Gateline,"3,177","3,049","1,508","1,044","3,009","2,904","1,438","1,019","2,902,818"
LU,706,SGTu,Southgate,Station entry / exit,Gateline,"2,703","2,737","1,627","1,144","2,790","2,831","1,728","1,180","2,705,625"
