Mode,NLC,ASC,Station,Coverage,Source,entries,,entries,entries,exits,,exits,exits,en/ex
LU,546,CWDu,Chorleywood,Station entry / exit,Relate,"2,764",0,"1,412",943,"2,374",0,"1,165",891,"1,469,208"
LU,547,CPCu,Clapham Common,Station entry / exit,Relate,"15,071",0,"13,320","9,002","16,450",0,"13,870","9,582","9,926,782"
LU,548,CPNu,Clapham North,Station entry / exit,Relate,"9,804",0,"9,237","5,746","10,834",0,"9,097","5,874","6,498,663"
LU,549,CPSu,Clapham South,Station entry / exit,Relate,"13,665",0,"10,189","6,726","13,359",0,"9,193","6,880","8,205,230"
LU,550,CFSu,Cockfosters,Station entry / exit,Relate,"2,894",0,"2,998","1,811","2,760",0,"2,576","1,814","1,828,835"
LU,551,COLu,Colindale,Station entry / exit,Relate,"11,783",0,"8,076","5,503","10,901",0,"6,829","5,108","6,781,366"
LU,552,CLWu,Colliers Wood,Station entry / exit,Relate,"10,755",0,"8,146","5,827","9,870",0,"7,264","5,657","6,346,134"
LU,553,COVu,Covent Garden,Station entry / exit,Relate,"22,563",0,"27,532","17,730","24,691",0,"36,587","20,431","16,524,381"
LU,554,CRXu,Croxley,Station entry / exit,Relate,"2,006",0,887,489,"1,877",0,825,489,"1,078,929"
LU,555,DGEu,Dagenham East,Station entry / exit,Relate,"5,082",0,"3,369","2,099","4,593",0,"2,770","1,795","2,850,852"
LU,556,DGHu,Dagenham Heathway,Station entry / exit,Relate,"9,800",0,"6,422","4,174","9,711",0,"6,157","4,109","5,779,848"
LU,557,DEBu,Debden,Station entry / exit,Relate,"4,365",0,"2,100","1,100","4,076",0,"1,836","1,035","2,356,317"
LU,558,DHLu,Dollis Hill,Station entry / exit,Relate,"7,035",0,"5,118","3,974","6,107",0,"4,252","3,576","4,033,111"
LU,560,EBYu,Ealing Broadway,Station entry / exit,Relate,"27,918",0,"18,907","12,639","25,074",0,"17,762","12,462","15,947,455"
LU,561,ECMu,Ealing Common,Station entry / exit,Relate,"5,017",0,"3,634","2,486","5,002",0,"3,413","2,470","3,030,959"
LU,562,ECTu,Earl's Court,Station entry / exit,Relate,"30,323",0,"24,399","18,840","30,098",0,"24,212","18,053","18,918,916"
