X,Y,Name
-0.285785682,51.59434715,Queensbury
-0.187434461,51.51038005,Queensway
-0.236258354,51.49413653,Ravenscourt Park
-0.371005564,51.5749767,Rayners Lane
0.045423116,51.57630179,Redbridge
-0.146862635,51.5235055,Regent's Park
-0.473712107,51.64027271,Rickmansworth
0.043864415,51.61711524,Roding Valley
-0.052180998,51.50100569,Rotherhithe
-0.188230043,51.51901712,Royal Oak
-0.421455074,51.57144911,Ruislip
-0.411039285,51.5605885,Ruislip Gardens
-0.412345792,51.57318768,Ruislip Manor
-0.124310056,51.52291285,Russell Square
-0.072491881,51.58335418,Seven Sisters
-0.056904476,51.51122898,Shadwell
-0.156486232,51.49228782,Sloane Square
0.021490462,51.58082702,Snaresbrook
-0.307018839,51.50136794,South Ealing
-0.352211571,51.56467757,South Harrow
-0.173922311,51.49399987,South Kensington
-0.398658757,51.55651696,South Ruislip
-0.191979094,51.41528037,South Wimbledon
0.027317134,51.59172565,South Woodford
-0.206537544,51.44493133,Southfields
-0.127758393,51.63231971,Southgate
-0.105091836,51.50384301,Southwark
-0.245453795,51.49479623,Stamford Brook
-0.303108171,51.61961834,Stanmore
-0.046458666,51.52191063,Stepney Green
-0.122909312,51.47216654,Stockwell
-0.00319533,51.54130927,Stratford
-0.336215632,51.55699619,Sudbury Hill
-0.315482697,51.55078246,Sudbury Town
-0.047514931,51.49319346,Surrey Quays
-0.174759253,51.54331532,Swiss Cottage
-0.11370309,51.51096998,Temple
0.103125377,51.67171132,Theydon Bois
-0.15970054,51.43575963,Tooting Bec
-0.167976763,51.42743539,Tooting Broadway
-0.130870518,51.51620955,Tottenham Court Road
-0.060281116,51.5880453,Tottenham Hale
-0.179261213,51.6302077,Totteridge & Whetstone
-0.076353695,51.51006595,Tower Hill
-0.137924881,51.55666682,Tufnell Park
-0.254532983,51.49511173,Turnham Green
-0.102792275,51.59029677,Turnpike Lane
0.251087116,51.55888908,Upminster
0.23577122,51.55875051,Upminster Bridge
0.101565626,51.53833531,Upney
0.03527318,51.5352333,Upton Park
-0.478139472,51.54649637,Uxbridge
-0.123748951,51.48573338,Vauxhall
-0.143844854,51.49634217,Victoria
-0.019918639,51.58295471,Walthamstow Central
0.028745919,51.57552134,Wanstead
-0.055846251,51.50426828,Wapping
-0.138272313,51.52451152,Warren Street
-0.183678271,51.52327252,Warwick Avenue
-0.114069436,51.50350221,Waterloo
-0.417280632,51.65742097,Watford
-0.279251009,51.56326048,Wembley Park
-0.28099329,51.51786059,West Acton
-0.195540834,51.48725695,West Brompton
-0.18846887,51.60948571,West Finchley
0.005039507,51.52818177,West Ham
-0.19074985,51.54670198,West Hampstead
-0.352920631,51.57977819,West Harrow
-0.206477115,51.49049169,West Kensington
-0.437886437,51.56952886,West Ruislip
-0.200883771,51.52092085,Westbourne Park
-0.124818265,51.50108458,Westminster
-0.224254319,51.51197811,White City
-0.059984983,51.51945525,Whitechapel
-0.222410152,51.54930889,Willesden Green
-0.199595272,51.43446419,Wimbledon Park
-0.109626381,51.59747603,Wood Green
0.034037144,51.60703337,Woodford
-0.185421028,51.61781141,Woodside Park
-0.01275175,51.51101008,All Saints
0.060942442,51.51513328,Beckton
0.054897747,51.50894379,Beckton Park
-0.007108497,51.50821611,Blackwall
-0.020691424,51.52733311,Bow Church
-0.011661937,51.52476994,Bromley-By-Bow
-0.014614326,51.49569837,Crossharbour & London Arena
0.027684411,51.50954382,Custom House
-0.010858773,51.48169437,Cutty Sark
0.06353852,51.50879193,Cyprus
-0.021550621,51.47428472,Deptford Bridge
-0.017224616,51.52217508,Devons Road
-0.002748664,51.50904125,East India
-0.170135073,51.52018389,Edgware Road Bakerloo
-0.167666131,51.51992047,Edgware Road Circle
-0.017467307,51.46881943,Elverson Road
0.072220033,51.50953809,Gallions Reach
-0.014198817,51.47775782,Greenwich
-0.275175035,51.4917931,Gunnersbury
-0.224930071,51.49349777,Hammersmith
-0.222401731,51.49256908,Hammersmith (D & P)
-0.257502755,51.53619291,Harlesden
