NLC,Station,en/ex
500,Acton Town,2902697
502,Aldgate,3525128
503,Aldgate East,5611130
505,Alperton,1345253
506,Amersham,946577
507,Angel,7258744
508,Archway,4027456
509,Arnos Grove,1963343
510,Arsenal,1209093
511,Baker Street,11147642
512,Balham LU,5356512
513,Bank and Monument,17657529
501,Barbican,3467856
514,Barking,9272519
515,Barkingside,647203
516,Barons Court,2900237
517,Bayswater,1498957
518,Becontree,1759768
519,Belsize Park,2609939
787,Bermondsey,4176709
520,Bethnal Green LU,6322604
521,Blackfriars LU,4795990
522,Blackhorse Road,4985901
524,Bond Street,15694939
525,Borough,2066434
526,Boston Manor,879895
527,Bounds Green,2509255
528,Bow Road,2257180
529,Brent Cross,1071927
778,Brixton LU,12831056
530,Bromley-by-Bow,2030519
531,Buckhurst Hill,1072751
532,Burnt Oak,1912270
534,Caledonian Road,2421295
535,Camden Town,9118497
788,Canada Water,5970317
852,Canary Wharf LU,18288802
884,Canning Town,7522672
536,Cannon Street LU,2147772
537,Canons Park,1249231
539,Chalfont & Latimer,736602
540,Chalk Farm,2195398
541,Chancery Lane,5469516
718,Charing Cross LU,7154835
543,Chesham,507495
544,Chigwell,192328
545,Chiswick Park,1013033
546,Chorleywood,803805
547,Clapham Common,4712092
548,Clapham North,3273797
549,Clapham South,3758231
550,Cockfosters,836566
551,Colindale,3432152
552,Colliers Wood,3024060
553,Covent Garden,7484432
554,Croxley,487950
555,Dagenham East,1496282
556,Dagenham Heathway,2869564
557,Debden,1106863
558,Dollis Hill,1865453
560,Ealing Broadway,6934968
561,Ealing Common,1308100
562,Earl's Court,8396552
563,East Acton,1326939
565,East Finchley,2809498
566,East Ham,5966757
567,East Putney,3007533
564,Eastcote,1187714
568,Edgware,2278683
774,Edgware Road (Bak),2183058
569,Edgware Road (DIS),2838710
570,Elephant & Castle LU,7881463
571,Elm Park,1406370
542,Embankment,8251813
572,Epping,1890743
574,Euston LU,15882123
575,Euston Square,5263980
576,Fairlop,541194
577,Farringdon,8497573
578,Finchley Central,3523038
579,Finchley Road,3908195
580,Finsbury Park,14048632
581,Fulham Broadway,4148235
582,Gants Hill,2835478
583,Gloucester Road,6967643
584,Golders Green,3332144
585,Goldhawk Road,954301
586,Goodge Street,2537086
587,Grange Hill,232680
588,Great Portland Street,2685637
590,Green Park,15943763
589,Greenford,2049869
591,Gunnersbury,1967487
592,Hainault,1732237
593,Hammersmith (DIS),10798249
773,Hammersmith (H&C),4225083
594,Hampstead,2111620
595,Hanger Lane,1467628
596,Harlesden,1549700
597,Harrow & Wealdstone,2079627
