NLC,Station,en/ex
745,Warren Street,19218263
746,Warwick Avenue,4047265
747,Waterloo LU,86887788
748,Watford,1771435
751,Wembley Central,5618729
752,Wembley Park,15712048
753,West Acton,1629156
755,West Brompton,5609357
756,West Finchley,1605581
757,West Ham,4174658
758,West Hampstead LU,11207001
759,West Harrow,1453150
760,West Kensington,4964196
762,West Ruislip,1634281
754,Westbourne Park,3928366
761,Westminster,24219994
764,White City,8433511
763,Whitechapel,13137261
765,Willesden Green,8331012
766,Willesden Junction,4453456
767,Wimbledon,11956760
768,Wimbledon Park,2074785
770,Wood Green,12202222
599,Wood Lane,3804000
769,Woodford,5682132
771,Woodside Park,3366132
1404,Acton Central,1990116
5397,Anerley,1141012
514,Barking,2232520
5420,Battersea Park,10383
6961,Bethnal Green LO,1364618
522,Blackhorse Road,2408688
5404,Brockley,4377054
1437,Brondesbury,2924794
1438,Brondesbury Park,1584534
6958,Bruce Grove,1580400
6913,Bush Hill Park,1204935
1395,Bushey,651775
1439,Caledonian Road & Barnsbury,1742987
6962,Cambridge Heath,980935
1440,Camden Road,5471661
788,Canada Water,28221928
1441,Canonbury,3333820
1442,Carpenders Park,1091852
6814,Cheshunt,453708
6914,Chingford,2084007
5301,Clapham High Street,2248857
5595,Clapham Junction,14788770
6926,Clapton,1776056
7406,Crouch Hill,719487
5356,Crystal Palace,2058418
1443,Dalston Junction,5909377
1429,Dalston Kingsland,6461602
5421,Denmark Hill,7709693
6941,Edmonton Green,3709925
7473,Emerson Park,275227
6959,Enfield Town,2388070
1444,Euston NR,3561954
1445,Finchley Road & Frognal,2273363
5362,Forest Hill,3491388
1409,Gospel Oak,2467887
591,Gunnersbury,2255304
6977,Hackney Central,6639640
6867,Hackney Downs,3347992
6978,Hackney Wick,2027072
1022,Haggerston,3351634
1413,Hampstead Heath,3562249
596,Harlesden,1328351
7401,Harringay Green Lanes,934235
597,Harrow & Wealdstone,3541286
1398,Hatch End,710039
1434,Headstone Lane,658172
6919,Highams Park,2308794
603,Highbury & Islington,23120516
6979,Homerton,4916632
5418,Honor Oak Park,3133342
1023,Hoxton,3249377
9586,Imperial Wharf,3307690
617,Kensal Green,896935
1448,Kensal Rise,2946889
618,Kensington (Olympia),3090678
1449,Kentish Town West,2493968
620,Kenton,891817
621,Kew Gardens,1414566
1415,Kilburn High Road,866081
7402,Leyton Midland Road,1502699
7403,Leytonstone High Road,1107993
6965,Liverpool Street NR,12427864
6966,London Fields,1784175
5150,New Cross,2784006
5345,New Cross Gate,6886621
659,North Wembley,594988
5376,Norwood Junction,1475831
5423,Peckham Rye,4084899
5378,Penge West,1038116
680,Queen's Park,2212295
5424,Queens Road Peckham,1962509
6967,Rectory Road,1181806
686,Richmond,3991845
6886,Romford,676281
1039,Rotherhithe,1826741
698,Seven Sisters,10373038
1082,Shadwell LO,4331978
9587,Shepherd's Bush NR,8458803
1024,Shoreditch High Street,8860547
6972,Silver Street,2498643
1452,South Acton,1378003
1451,South Hampstead,510791
709,South Kenton,583276
7404,South Tottenham,1342130
6947,Southbury,1271810
6973,St James Street,1133828
6968,Stamford Hill,987086
6934,Stoke Newington,1545265
717,Stonebridge Park,755606
719,Stratford,16861016
1083,Surrey Quays,4926621
5437,Sydenham,2974643
6949,Theobalds Grove,743156
6952,Turkey Street,1287754
736,Upminster,605174
1524,Upper Holloway,887733
742,Walthamstow Central,5792505
7407,Walthamstow Queen's Road,1602249
5372,Wandsworth Road,857961
7408,Wanstead Park,1060998
1085,Wapping,2481764
1455,Watford High Street,1383367
1402,Watford Junction,1492464
751,Wembley Central,1753272
755,West Brompton,3796976
5411,West Croydon NR,3259957
1421,West Hampstead LO,5860118
6956,White Hart Lane,2264604
763,Whitechapel,13751196
766,Willesden Junction,10186191
6954,Wood Street,1422045
7467,Woodgrange Park,962973
750,Abbey Road,1190535
850,All Saints,2034156
513,Bank and Monument,31666037
895,Beckton,2532056
891,Beckton Park,688907
882,Blackwall,1924981
851,Bow Church,3543715
842,Canary Wharf DLR,18007670
884,Canning Town,13940054
854,Crossharbour,4064583
887,Custom House,0
879,Cutty Sark,7430815
893,Cyprus,1888241
897,Deptford Bridge,4242465
867,Devons Road,2372121
883,East India,3662137
898,Elverson Road,1965251
894,Gallions Reach,1405306
928,Greenwich,5205602
855,Heron Quays,8677976
856,Island Gardens,2898807
523,King George V,1647718
853,Langdon Park,4058468
940,Lewisham DLR,10846562
862,Limehouse DLR,9390199
533,London City Airport,4411647
857,Mudchute,2134183
538,Pontoon Dock,1609537
858,Poplar,4713917
888,Prince Regent,3068336
859,Pudding Mill Lane,595193
890,Royal Albert,1778768
886,Royal Victoria,4935448
860,Shadwell DLR,8539916
861,South Quay,5921106
889,Star Lane,1493352
719,Stratford,8809473
749,Stratford High Street,1143355
504,Stratford International DLR,3565490
864,Tower Gateway,4485971
757,West Ham,3336998
866,West India Quay,1280769
559,West Silvertown,2109077
865,Westferry,4999283
573,Woolwich Arsenal,15515983
6872,Brentwood,2910274
6874,Chadwell Heath,4000605
6876,Forest Gate,2956428
