NLC,Station,en/ex
500,Acton Town,6186555
502,Aldgate,9956600
503,Aldgate East,14148654
505,Alperton,2858439
506,Amersham,2350099
507,Angel,17705761
508,Archway,8772643
509,Arnos Grove,4436265
510,Arsenal,2768340
511,Baker Street,28073310
512,Balham LU,13064682
513,Bank and Monument,61793808
501,Barbican,10467974
514,Barking,18133350
515,Barkingside,1575379
516,Barons Court,6821846
517,Bayswater,4253914
518,Becontree,3461331
519,Belsize Park,5679733
787,Bermondsey,9448211
520,Bethnal Green LU,14920047
521,Blackfriars LU,15533461
522,Blackhorse Road,9741998
524,Bond Street,37487361
525,Borough,5547448
526,Boston Manor,2185122
527,Bounds Green,5990306
528,Bow Road,5229778
529,Brent Cross,2406723
778,Brixton LU,32032655
530,Bromley-by-Bow,4229591
531,Buckhurst Hill,1856050
532,Burnt Oak,4190341
534,Caledonian Road,5603533
535,Camden Town,20499697
788,Canada Water,13114503
852,Canary Wharf LU,47685725
884,Canning Town,14826082
536,Cannon Street LU,7108243
537,Canons Park,2981768
539,Chalfont & Latimer,1766734
540,Chalk Farm,5448344
541,Chancery Lane,17253849
718,Charing Cross LU,19477585
543,Chesham,1170792
544,Chigwell,524833
545,Chiswick Park,2443330
546,Chorleywood,1492279
547,Clapham Common,9644363
548,Clapham North,6136734
549,Clapham South,8095216
550,Cockfosters,1864419
551,Colindale,7700808
552,Colliers Wood,6836968
553,Covent Garden,16550043
554,Croxley,1121607
555,Dagenham East,2953138
556,Dagenham Heathway,5853372
557,Debden,2380050
558,Dollis Hill,4016751
560,Ealing Broadway,16088979
561,Ealing Common,3068294
562,Earl's Court,19127125
563,East Acton,4081695
565,East Finchley,6866724
566,East Ham,13011044
567,East Putney,6445888
564,Eastcote,2825453
568,Edgware,4922141
774,Edgware Road (Bak),4856904
569,Edgware Road (DIS),6737179
570,Elephant & Castle LU,19754830
571,Elm Park,3143319
542,Embankment,20963697
572,Epping,4084533
574,Euston LU,41092380
575,Euston Square,14119388
576,Fairlop,1248117
577,Farringdon,25924012
578,Finchley Central,8485023
579,Finchley Road,9187606
580,Finsbury Park,33396270
581,Fulham Broadway,8816445
582,Gants Hill,6358482
583,Gloucester Road,13738684
584,Golders Green,7895394
585,Goldhawk Road,2127422
586,Goodge Street,8507731
587,Grange Hill,652468
588,Great Portland Street,7974138
590,Green Park,39059216
589,Greenford,4170423
591,Gunnersbury,5522635
592,Hainault,3644122
593,Hammersmith (DIS),27049240
773,Hammersmith (H&C),10252785
594,Hampstead,4665745
595,Hanger Lane,3548004
596,Harlesden,3056499
597,Harrow & Wealdstone,4661780
598,Harrow-on-the-Hill,10698286
779,Hatton Cross,3238018
780,Heathrow Terminals 123 LU,7881446
781,Heathrow Terminal 4 LU,2125220
783,Heathrow Terminal 5 LU,4476640
601,Hendon Central,7190413
602,High Barnet,4047339
605,High Street Kensington,11691230
603,Highbury & Islington,17504715
604,Highgate,5652865
606,Hillingdon,1648055
607,Holborn,31253089
608,Holland Park,3722034
609,Holloway Road,6687750
610,Hornchurch,2139412
611,Hounslow Central,3635704
612,Hounslow East,3920633
613,Hounslow West,3531951
614,Hyde Park Corner,4438810
615,Ickenham,1118573
616,Kennington,5508345
617,Kensal Green,2488061
618,Kensington (Olympia),109430
619,Kentish Town,8121594
620,Kenton,1889965
621,Kew Gardens,3825494
622,Kilburn,8116651
623,Kilburn Park,3285734
625,King's Cross St. Pancras,88273827
624,Kingsbury,4551665
626,Knightsbridge,16528117
627,Ladbroke Grove,6130079
628,Lambeth North,3868659
629,Lancaster Gate,6628043
630,Latimer Road,2320784
631,Leicester Square,34563636
632,Leyton,11262368
633,Leytonstone,9822700
634,Liverpool Street LU,67202755
635,London Bridge LU,74343494
636,Loughton,3473615
637,Maida Vale,3302961
638,Manor House,8554567
639,Mansion House,6789496
640,Marble Arch,12159194
641,Marylebone LU,12881989
642,Mile End,14971042
643,Mill Hill East,1407857
646,Moor Park,932748
645,Moorgate,25050824
647,Morden,9815261
648,Mornington Crescent,4001482
649,Neasden,3450466
650,Newbury Park,5079924
653,North Acton,6241955
654,North Ealing,880333
789,North Greenwich,28280620
656,North Harrow,1930536
659,North Wembley,1572051
655,Northfields,3975886
657,Northolt,4976954
660,Northwick Park,4357031
661,Northwood,2743087
662,Northwood Hills,1903375
663,Notting Hill Gate,15070782
664,Oakwood,2780380
665,Old Street,27107822
667,Osterley,2179739
668,Oval,7170152
669,Oxford Circus,78073457
670,Paddington TfL,48612110
671,Park Royal,2047993
672,Parsons Green,6558793
673,Perivale,2444064
674,Piccadilly Circus,38396960
776,Pimlico,10813686
675,Pinner,2960479
676,Plaistow,5567660
677,Preston Road,3230285
678,Putney Bridge,5766944
680,Queen's Park,5412178
679,Queensbury,4114533
681,Queensway,8254515
682,Ravenscourt Park,3228328
683,Rayners Lane,4159999
684,Redbridge,2804018
685,Regent's Park,3867435
686,Richmond,8081806
687,Rickmansworth,2387979
688,Roding Valley,449612
690,Royal Oak,2608698
691,Ruislip,1932543
692,Ruislip Gardens,1106583
693,Ruislip Manor,1893831
694,Russell Square,12274252
698,Seven Sisters,17020209
700,Shepherd's Bush LU,20081602
775,Shepherd's Bush Market,3375980
702,Sloane Square,16585916
703,Snaresbrook,2378289
704,South Ealing,3518542
707,South Harrow,2167602
708,South Kensington,33071847
709,South Kenton,1415443
710,South Ruislip,1952608
711,South Wimbledon,4654244
712,South Woodford,5271035
705,Southfields,5860615
706,Southgate,5429160
784,Southwark,14953717
695,St. James's Park,14479978
696,St. John's Wood,7610612
697,St. Paul's,15815893
713,Stamford Brook,2749841
714,Stanmore,3853243
715,Stepney Green,5988691
716,Stockwell,11075026
717,Stonebridge Park,2426837
719,Stratford,64853194
720,Sudbury Hill,1910960
721,Sudbury Town,1825805
723,Swiss Cottage,7130168
724,Temple,8743279
725,Theydon Bois,896336
726,Tooting Bec,7670661
727,Tooting Broadway,15427848
728,Tottenham Court Road,41988765
729,Tottenham Hale LU,14026843
730,Totteridge & Whetstone,2523102
731,Tower Hill,20586761
733,Tufnell Park,4051401
734,Turnham Green,5839620
735,Turnpike Lane,10603832
736,Upminster,4764016
737,Upminster Bridge,1107953
738,Upney,2546936
739,Upton Park,9708180
740,Uxbridge,7992197
777,Vauxhall LU,32303635
741,Victoria LU,85468928
742,Walthamstow Central,18918347
743,Wanstead,2771619
745,Warren Street,18245765
746,Warwick Avenue,3999622
747,Waterloo LU,82934325
748,Watford,1924615
751,Wembley Central,5650760
752,Wembley Park,15423884
753,West Acton,1710258
755,West Brompton,5200463
756,West Finchley,1637337
757,West Ham,4550687
758,West Hampstead LU,10488823
759,West Harrow,1281592
760,West Kensington,4871929
762,West Ruislip,1557760
754,Westbourne Park,4132837
761,Westminster,22560365
764,White City,9559843
763,Whitechapel,13089592
765,Willesden Green,7966014
766,Willesden Junction,5129843
767,Wimbledon,12528740
768,Wimbledon Park,2149788
770,Wood Green,12133990
599,Wood Lane,4739497
769,Woodford,5862279
771,Woodside Park,4349739
1404,Acton Central,1790280
5397,Anerley,1264544
514,Barking,3488686
5420,Battersea Park,12154
6961,Bethnal Green LO,1352754
522,Blackhorse Road,2623375
5404,Brockley,4280207
1437,Brondesbury,2968014
1438,Brondesbury Park,1517887
6958,Bruce Grove,1782467
6913,Bush Hill Park,1416560
1395,Bushey,698731
1439,Caledonian Road & Barnsbury,1802241
6962,Cambridge Heath,1115133
1440,Camden Road,5062324
788,Canada Water,23355968
1441,Canonbury,3104982
1442,Carpenders Park,1191720
6814,Cheshunt,459470
6914,Chingford,2215460
5301,Clapham High Street,2260168
5595,Clapham Junction,14773995
6926,Clapton,1900867
7406,Crouch Hill,942814
5356,Crystal Palace,2000025
1443,Dalston Junction,6214642
1429,Dalston Kingsland,6415030
5421,Denmark Hill,7990260
6941,Edmonton Green,4058791
7473,Emerson Park,322550
6959,Enfield Town,2461521
1444,Euston NR,4125202
1445,Finchley Road & Frognal,2364775
5362,Forest Hill,3366957
1409,Gospel Oak,2691232
591,Gunnersbury,2310566
6977,Hackney Central,7355336
6867,Hackney Downs,3480439
6978,Hackney Wick,2865480
1022,Haggerston,3456324
1413,Hampstead Heath,3466018
596,Harlesden,1329267
7401,Harringay Green Lanes,1342722
597,Harrow & Wealdstone,3497994
1398,Hatch End,726221
1434,Headstone Lane,652914
6919,Highams Park,2900832
603,Highbury & Islington,23613024
6979,Homerton,5106067
5418,Honor Oak Park,3194783
1023,Hoxton,3318585
9586,Imperial Wharf,3022704
617,Kensal Green,868880
1448,Kensal Rise,2987835
618,Kensington (Olympia),3695006
1449,Kentish Town West,2161589
620,Kenton,860199
621,Kew Gardens,1438021
1415,Kilburn High Road,930564
7402,Leyton Midland Road,1441735
7403,Leytonstone High Road,1018773
6965,Liverpool Street NR,13350442
6966,London Fields,2050471
5150,New Cross,2655302
5345,New Cross Gate,5606001
659,North Wembley,549850
5376,Norwood Junction,1568093
5423,Peckham Rye,4200052
5378,Penge West,842354
680,Queen's Park,2167666
5424,Queens Road Peckham,2120306
6967,Rectory Road,1161046
686,Richmond,3453624
6886,Romford,638445
1039,Rotherhithe,1786036
698,Seven Sisters,9446801
1082,Shadwell LO,5561873
9587,Shepherd's Bush NR,8312280
1024,Shoreditch High Street,9507906
6972,Silver Street,2896057
1452,South Acton,1457168
1451,South Hampstead,577003
709,South Kenton,560798
7404,South Tottenham,1269078
6947,Southbury,1175370
6973,St James Street,1331099
6968,Stamford Hill,1028322
6934,Stoke Newington,1607495
717,Stonebridge Park,752553
719,Stratford,15957564
1083,Surrey Quays,4873849
5437,Sydenham,2962757
6949,Theobalds Grove,770253
6952,Turkey Street,1269753
736,Upminster,596487
1524,Upper Holloway,1389262
742,Walthamstow Central,5669759
7407,Walthamstow Queen's Road,2342011
5372,Wandsworth Road,852193
7408,Wanstead Park,1195337
1085,Wapping,2548862
1455,Watford High Street,1404551
1402,Watford Junction,1681091
751,Wembley Central,1836001
755,West Brompton,3922643
5411,West Croydon NR,3594643
1421,West Hampstead LO,5056826
6956,White Hart Lane,1885627
763,Whitechapel,14007311
766,Willesden Junction,10537338
6954,Wood Street,1862285
7467,Woodgrange Park,898106
750,Abbey Road,1219247
850,All Saints,2113995
513,Bank and Monument,30497195
895,Beckton,2364126
891,Beckton Park,508725
882,Blackwall,1973374
851,Bow Church,3552013
842,Canary Wharf DLR,18319463
884,Canning Town,13567716
854,Crossharbour,4258652
887,Custom House,2205585
879,Cutty Sark,7083717
893,Cyprus,1993882
897,Deptford Bridge,4214301
867,Devons Road,2624213
883,East India,3878104
898,Elverson Road,1700793
894,Gallions Reach,1416166
928,Greenwich,4854886
855,Heron Quays,8150993
856,Island Gardens,2708635
523,King George V,1859583
853,Langdon Park,4405944
940,Lewisham DLR,9662035
862,Limehouse DLR,9780754
533,London City Airport,4683701
857,Mudchute,2124149
538,Pontoon Dock,3175895
858,Poplar,4967283
888,Prince Regent,2438593
859,Pudding Mill Lane,855872
890,Royal Albert,1821951
886,Royal Victoria,3968052
860,Shadwell DLR,8862262
861,South Quay,6501819
889,Star Lane,1504172
719,Stratford,10453296
749,Stratford High Street,1183158
504,Stratford International DLR,3931217
864,Tower Gateway,4905211
757,West Ham,3523441
866,West India Quay,1305312
559,West Silvertown,1899803
865,Westferry,5266544
573,Woolwich Arsenal,14589695
6872,Brentwood,2430028
6874,Chadwell Heath,4402503
6876,Forest Gate,3931741
6877,Gidea Park,3091264
6878,Goodmayes,3969489
6879,Harold Wood,3102641
6881,Ilford,8343355
6965,Liverpool Street NR,18897676
6883,Manor Park,2762719
6970,Maryland,1556190
6886,Romford,8884454
6893,Seven Kings,3519698
6888,Shenfield,1857641
719,Stratford,27300570
3087,Paddington NR,4722949
3000,Acton Main Line,381479
560,Ealing Broadway,2947793
3188,West Ealing,1487684
3191,Hanwell,675795
3187,Southall,2563229
3186,Hayes & Harlington,2546115
7090,Heathrow Terminals 2 & 3 EL,1664708
7091,Heathrow Terminal 4 EL,1426266
