NLC,Station,en/ex
500,Acton Town,6274649
502,Aldgate,8009494
503,Aldgate East,13434630
505,Alperton,3174845
506,Amersham,2360700
507,Angel,20100806
508,Archway,9940993
509,Arnos Grove,4645869
510,Arsenal,3012524
511,Baker Street,29754860
512,Balham,14637993
513,Bank & Monument,64262200
501,Barbican,11973122
514,Barking,15860320
515,Barkingside,1633262
516,Barons Court,7207423
517,Bayswater,4756028
518,Becontree,3545530
519,Belsize Park,6482865
787,Bermondsey,11068171
520,Bethnal Green,16272340
521,Blackfriars,15449362
522,Blackhorse Road,8452553
524,Bond Street,39528650
525,Borough,5873875
526,Boston Manor,2322687
527,Bounds Green,6615420
528,Bow Road,5645547
529,Brent Cross,2493412
778,Brixton,33460967
530,Bromley-by-Bow,3789045
531,Buckhurst Hill,2188937
532,Burnt Oak,4519973
534,Caledonian Road,5725549
535,Camden Town,22884901
788,Canada Water,14438625
852,Canary Wharf,54785734
884,Canning Town,11913321
536,Cannon Street,8983249
537,Canons Park,2925484
539,Chalfont & Latimer,1488465
540,Chalk Farm,5608603
541,Chancery Lane,18189655
718,Charing Cross,8126588
543,Chesham,1069954
544,Chigwell,531799
545,Chiswick Park,2292764
546,Chorleywood,1070254
547,Clapham Common,10043328
548,Clapham North,6903645
549,Clapham South,8797066
550,Cockfosters,2040080
551,Colindale,6227278
552,Colliers Wood,6715162
553,Covent Garden,17188811
554,Croxley,1078029
555,Dagenham East,2976440
556,Dagenham Heathway,6043690
557,Debden,2469953
558,Dollis Hill,4180094
560,Ealing Broadway,18604788
561,Ealing Common,3177674
562,Earl's Court,19998114
563,East Acton,4122793
565,East Finchley,7470306
566,East Ham,14746847
567,East Putney,6369310
564,Eastcote,2943186
568,Edgware,5188838
774,Edgware Road (Bak),5006662
569,Edgware Road (Cir),6963367
570,Elephant & Castle,23295457
571,Elm Park,3096321
542,Embankment,26844711
572,Epping,3770408
574,Euston,43099154
575,Euston Square,14395409
576,Fairlop,1197309
577,Farringdon,15874802
578,Finchley Central,6949909
579,Finchley Road,9998400
580,Finsbury Park,32738968
581,Fulham Broadway,10153787
582,Gants Hill,7143148
583,Gloucester Road,13975040
584,Golders Green,8511338
585,Goldhawk Road,2123640
586,Goodge Street,8463593
587,Grange Hill,663262
588,Great Portland Street,8657946
590,Green Park,41241175
589,Greenford,4806850
591,Gunnersbury,5784841
592,Hainault,3738019
593,Hammersmith (Dis),29417701
773,Hammersmith (H&C),10567650
594,Hampstead,4637096
595,Hanger Lane,4095538
596,Harlesden,3099292
597,Harrow & Wealdstone,4963518
598,Harrow-on-the-Hill,10665325
779,Hatton Cross,3248674
781,Heathrow Terminal 4,2278746
783,Heathrow Terminal 5,4452155
780,Heathrow Terminals 123,7731054
601,Hendon Central,8130263
602,High Barnet,3647152
605,High Street Kensington,13103200
603,Highbury & Islington,20222247
604,Highgate,5769258
606,Hillingdon,1772004
607,Holborn,33956572
608,Holland Park,3225381
609,Holloway Road,6719981
610,Hornchurch,2108498
611,Hounslow Central,3825932
612,Hounslow East,3870493
613,Hounslow West,3545471
614,Hyde Park Corner,6310733
615,Ickenham,1166906
616,Kennington,5592864
617,Kensal Green,2724536
618,Kensington (Olympia),2047039
619,Kentish Town,8358081
620,Kenton,2078584
621,Kew Gardens,4176827
622,Kilburn,8582187
623,Kilburn Park,3428178
625,King's Cross St. Pancras,95030793
624,Kingsbury,5122530
626,Knightsbridge,19086044
627,Ladbroke Grove,5801892
628,Lambeth North,0
629,Lancaster Gate,7060983
630,Latimer Road,2627529
631,Leicester Square,37843681
632,Leyton,14331098
633,Leytonstone,11300919
634,Liverpool Street,71614231
635,London Bridge,70735683
636,Loughton,3448907
637,Maida Vale,3409091
638,Manor House,9122653
639,Mansion House,6136459
640,Marble Arch,14108617
641,Marylebone,12948293
642,Mile End,15746922
643,Mill Hill East,1340993
646,Moor Park,914852
645,Moorgate,27565959
647,Morden,10056185
648,Mornington Crescent,5039573
649,Neasden,3749439
650,Newbury Park,5429546
653,North Acton,6530887
654,North Ealing,905402
789,North Greenwich,26452132
656,North Harrow,1968198
659,North Wembley,1791287
655,Northfields,3913283
657,Northolt,5157171
660,Northwick Park,4651799
661,Northwood,2488831
662,Northwood Hills,1910904
663,Notting Hill Gate,17184657
664,Oakwood,2875067
665,Old Street,25966550
667,Osterley,2315575
668,Oval,6447853
669,Oxford Circus,83258977
670,Paddington,49480436
671,Park Royal,2015314
672,Parsons Green,6746851
673,Perivale,2460144
674,Piccadilly Circus,41291525
776,Pimlico,11485039
675,Pinner,3198703
676,Plaistow,5490616
677,Preston Road,3308379
678,Putney Bridge,5416663
680,Queen's Park,5636721
679,Queensbury,4675024
681,Queensway,8707156
682,Ravenscourt Park,3178278
683,Rayners Lane,4460978
684,Redbridge,3054243
685,Regent's Park,3346006
686,Richmond,8112159
687,Rickmansworth,2455761
688,Roding Valley,367335
690,Royal Oak,2545583
691,Ruislip,1948970
692,Ruislip Gardens,1072221
693,Ruislip Manor,1993852
694,Russell Square,12345236
698,Seven Sisters,18605749
700,Shepherd's Bush (Cen),22848359
775,Shepherd's Bush (H&C),3569302
702,Sloane Square,17147936
703,Snaresbrook,2694225
704,South Ealing,3617189
707,South Harrow,2484237
708,South Kensington,33603151
709,South Kenton,1170483
710,South Ruislip,1758094
711,South Wimbledon,4759428
712,South Woodford,5247294
705,Southfields,6275587
706,Southgate,5647834
784,Southwark,17861867
695,St. James's Park,14934536
696,St. John's Wood,7791962
697,St. Paul's,18422362
713,Stamford Brook,2700007
714,Stanmore,4040589
715,Stepney Green,6411775
716,Stockwell,11423478
717,Stonebridge Park,2530036
719,Stratford,67047270
720,Sudbury Hill,1976543
721,Sudbury Town,1996547
723,Swiss Cottage,7578603
724,Temple,8223970
725,Theydon Bois,850065
726,Tooting Bec,7922887
727,Tooting Broadway,15922071
728,Tottenham Court Road,39346254
729,Tottenham Hale,13213806
730,Totteridge & Whetstone,2232086
731,Tower Hill,21834402
733,Tufnell Park,3707186
734,Turnham Green,5650263
735,Turnpike Lane,10857089
736,Upminster,5339344
737,Upminster Bridge,1159376
738,Upney,2719998
739,Upton Park,10141620
740,Uxbridge,8452417
777,Vauxhall,32234468
741,Victoria,83501204
742,Walthamstow Central,22766326
743,Wanstead,2960642
745,Warren Street,20346625
746,Warwick Avenue,4506260
747,Waterloo,100362256
748,Watford,1836559
751,Wembley Central,5769748
752,Wembley Park,15103629
753,West Acton,1820883
755,West Brompton,6098173
756,West Finchley,1665191
757,West Ham,3459634
758,West Hampstead,11039789
759,West Harrow,1489512
760,West Kensington,5060671
762,West Ruislip,1666851
754,Westbourne Park,3978228
761,Westminster,28378426
764,White City,8953281
763,Whitechapel,14369235
765,Willesden Green,8972604
766,Willesden Junction,4728227
767,Wimbledon,13395119
768,Wimbledon Park,1893927
770,Wood Green,13204130
599,Wood Lane,3678778
769,Woodford,5692577
771,Woodside Park,2869951
