NLC,Station,en/ex
500,Acton Town,5794685
502,Aldgate,9218140
503,Aldgate East,13707738
505,Alperton,2796159
506,Amersham,2130207
507,Angel,17661269
508,Archway,8608964
509,Arnos Grove,4263555
510,Arsenal,2651488
511,Baker Street,27349471
512,Balham LU,12706683
513,Bank and Monument,56888921
501,Barbican,11160091
514,Barking,17491858
515,Barkingside,1557996
516,Barons Court,6689966
517,Bayswater,4335552
518,Becontree,3477091
519,Belsize Park,5811597
787,Bermondsey,9416737
520,Bethnal Green LU,14171711
521,Blackfriars LU,14288212
522,Blackhorse Road,9058828
524,Bond Street,36165875
525,Borough,5413775
526,Boston Manor,2066569
527,Bounds Green,5749650
528,Bow Road,5327619
529,Brent Cross,2396791
778,Brixton LU,30303976
530,Bromley-by-Bow,4093177
531,Buckhurst Hill,1844536
532,Burnt Oak,4208566
534,Caledonian Road,5226968
535,Camden Town,19628395
788,Canada Water,12520167
852,Canary Wharf LU,49813792
884,Canning Town,13345625
536,Cannon Street LU,7399745
537,Canons Park,2893090
539,Chalfont & Latimer,1789548
540,Chalk Farm,5232138
541,Chancery Lane,17033055
718,Charing Cross LU,18895518
543,Chesham,1121663
544,Chigwell,503402
545,Chiswick Park,2090004
546,Chorleywood,1402308
547,Clapham Common,9711927
548,Clapham North,6009179
549,Clapham South,7977126
550,Cockfosters,1779062
551,Colindale,7109001
552,Colliers Wood,6398401
553,Covent Garden,15756864
554,Croxley,1062083
555,Dagenham East,2889563
556,Dagenham Heathway,5763663
557,Debden,2377124
558,Dollis Hill,3853604
560,Ealing Broadway,15816781
561,Ealing Common,3035829
562,Earl's Court,18512627
563,East Acton,3866457
565,East Finchley,6637732
566,East Ham,13246713
567,East Putney,6109009
564,Eastcote,2791569
568,Edgware,4842434
774,Edgware Road (Bak),4734969
569,Edgware Road (DIS),6743070
570,Elephant & Castle LU,19132578
571,Elm Park,3076370
542,Embankment,20303286
572,Epping,4048867
574,Euston LU,39254276
575,Euston Square,13858401
576,Fairlop,1181967
577,Farringdon,25016753
578,Finchley Central,8075893
579,Finchley Road,9124495
580,Finsbury Park,31540207
581,Fulham Broadway,8704059
582,Gants Hill,6174918
583,Gloucester Road,13311849
584,Golders Green,7897011
585,Goldhawk Road,2109767
586,Goodge Street,7316006
587,Grange Hill,642034
588,Great Portland Street,7728904
590,Green Park,36793171
589,Greenford,4206392
591,Gunnersbury,5447164
592,Hainault,3584797
593,Hammersmith (DIS),26958703
773,Hammersmith (H&C),9836352
594,Hampstead,4441422
595,Hanger Lane,3551843
596,Harlesden,3022879
597,Harrow & Wealdstone,4654371
598,Harrow-on-the-Hill,10208999
779,Hatton Cross,3008769
781,Heathrow Terminal 4 LU,2127743
783,Heathrow Terminal 5 LU,4178801
780,Heathrow Terminals 123 LU,7346448
601,Hendon Central,7297644
602,High Barnet,4014753
605,High Street Kensington,11889198
603,Highbury & Islington,16740040
604,Highgate,5362797
606,Hillingdon,1704504
607,Holborn,30740262
608,Holland Park,3377648
609,Holloway Road,6146893
610,Hornchurch,2108849
611,Hounslow Central,3575375
612,Hounslow East,3729904
613,Hounslow West,3324930
614,Hyde Park Corner,4567539
615,Ickenham,1142440
616,Kennington,5032526
617,Kensal Green,2410079
618,Kensington (Olympia),110944
619,Kentish Town,7598874
620,Kenton,1881163
621,Kew Gardens,3865056
622,Kilburn,8055599
623,Kilburn Park,3271343
625,King's Cross St. Pancras,87839231
624,Kingsbury,4637313
626,Knightsbridge,16509261
627,Ladbroke Grove,5597827
628,Lambeth North,3973246
629,Lancaster Gate,6140949
630,Latimer Road,2439071
631,Leicester Square,33424173
632,Leyton,11393769
633,Leytonstone,9744447
634,Liverpool Street LU,66141465
635,London Bridge LU,70676629
636,Loughton,3301688
637,Maida Vale,3150058
638,Manor House,7827043
639,Mansion House,7106682
640,Marble Arch,12451407
641,Marylebone LU,13075755
642,Mile End,14686759
643,Mill Hill East,1350943
646,Moor Park,913450
645,Moorgate,24646666
647,Morden,9689216
648,Mornington Crescent,4300182
649,Neasden,3400938
650,Newbury Park,4729847
653,North Acton,5909108
654,North Ealing,798689
789,North Greenwich,24549011
656,North Harrow,1835839
659,North Wembley,1589646
655,Northfields,3664816
657,Northolt,4784063
660,Northwick Park,4142560
661,Northwood,2630662
662,Northwood Hills,1856472
663,Notting Hill Gate,13812400
664,Oakwood,2648492
665,Old Street,25533008
667,Osterley,2043230
668,Oval,7027340
669,Oxford Circus,73639833
670,Paddington TfL,47011593
671,Park Royal,1896819
672,Parsons Green,6357956
673,Perivale,2425638
674,Piccadilly Circus,36004485
776,Pimlico,10282108
675,Pinner,3366921
676,Plaistow,5815124
677,Preston Road,3200118
678,Putney Bridge,5278188
680,Queen's Park,5183914
679,Queensbury,4173051
681,Queensway,7661884
682,Ravenscourt Park,3087532
683,Rayners Lane,3912652
684,Redbridge,2715368
685,Regent's Park,3460614
686,Richmond,7998532
687,Rickmansworth,2256420
688,Roding Valley,459286
690,Royal Oak,2587512
691,Ruislip,1929049
692,Ruislip Gardens,1039276
693,Ruislip Manor,1872804
694,Russell Square,11896108
698,Seven Sisters,17536699
700,Shepherd's Bush LU,19408053
775,Shepherd's Bush Market,3426693
702,Sloane Square,15929561
703,Snaresbrook,2298797
704,South Ealing,3357981
707,South Harrow,2081548
708,South Kensington,32056414
709,South Kenton,1389793
710,South Ruislip,1895804
711,South Wimbledon,4626925
712,South Woodford,4876210
705,Southfields,5747476
706,Southgate,5170481
784,Southwark,15133433
695,St. James's Park,14169247
696,St. John's Wood,7480779
697,St. Paul's,12081030
713,Stamford Brook,2621529
714,Stanmore,3762665
715,Stepney Green,6081225
716,Stockwell,10565894
717,Stonebridge Park,2391234
719,Stratford,61553342
720,Sudbury Hill,1776550
721,Sudbury Town,1654830
723,Swiss Cottage,7034394
724,Temple,8957017
725,Theydon Bois,889000
726,Tooting Bec,7570365
727,Tooting Broadway,15218284
728,Tottenham Court Road,38649304
729,Tottenham Hale LU,12965971
730,Totteridge & Whetstone,2418680
731,Tower Hill,21524392
733,Tufnell Park,3980735
