NLC,Station,en/ex
538,Pontoon Dock,1285216
858,Poplar,1135902
888,Prince Regent,952650
859,Pudding Mill Lane,619028
890,Royal Albert,642156
886,Royal Victoria,2219789
860,Shadwell DLR,4061469
861,South Quay,1990713
889,Star Lane,1135766
719,Stratford,8756684
749,Stratford High Street,917986
504,Stratford International DLR,2283993
864,Tower Gateway,1344452
757,West Ham,2043843
866,West India Quay,296160
559,West Silvertown,1085312
865,Westferry,2579546
573,Woolwich Arsenal,8083374
3000,Acton Main Line,178777
6872,Brentwood,1168543
3176,Burnham,106258
6874,Chadwell Heath,2469914
560,Ealing Broadway,1135552
6876,Forest Gate,2488244
6877,Gidea Park,1273342
6878,Goodmayes,2290994
3191,Hanwell,387664
6879,Harold Wood,1573665
3186,Hayes & Harlington,1147933
7091,Heathrow Terminal 4 EL,0
9846,Heathrow Terminal 5 EL,668011
7090,Heathrow Terminals 2 & 3 EL,129339
6881,Ilford,3930054
3170,Iver,43002
3171,Langley,81604
6965,Liverpool Street NR,8767094
3147,Maidenhead,102141
6883,Manor Park,1687629
6970,Maryland,1080904
3087,Paddington NR,5977071
3149,Reading,1211829
6886,Romford,4279882
6893,Seven Kings,2087123
6888,Shenfield,1365424
3172,Slough,234410
3187,Southall,1429088
719,Stratford,8480044
3151,Taplow,20878
3155,Twyford,13407
3174,West Drayton,1104778
3188,West Ealing,663903
